법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
효자동,4**,명주길,단독,32.09,-,02/28,-,-,"5,500",0,-,-,
효자동,7**,성심로,단독,28.2,-,02/27,-,-,300,38,-,-,
효자동,1**,백령로23번길,다가구,13.53,-,02/27,-,-,"3,000",0,-,-,
효자동,1**,백령로25번길,단독,27,-,02/27,-,-,"2,500",0,-,-,
효자동,1**,백령로,다가구,26,-,02/27,-,-,"3,500",0,-,-,
효자동,1**,백령로67번길,단독,30,-,02/26,-,-,"3,800",0,-,-,
효자동,1**,돌담길10번길,다가구,54.88,-,02/26,-,-,"4,500",0,-,-,
효자동,1**,백령로67번길,다가구,26,-,02/26,-,-,200,30,-,-,
효자동,6**,닥나무길9번길,다가구,39,-,02/26,-,-,"6,500",0,-,-,
효자동,7**,전원길,단독,50,-,02/26,-,-,"5,000",0,-,-,
효자동,7**,전원길,단독,45,-,02/26,-,-,"10,000",0,-,-,
효자동,7**,전원길,단독,178.65,-,02/26,-,-,"10,000",0,-,-,
효자동,3**,공지로252번길,단독,20,-,02/25,-,-,"5,000",0,-,-,
효자동,6**,서부대성로227번길,단독,26.45,-,02/25,-,-,"3,200",0,-,-,
효자동,1**,백령로23번길,다가구,20,-,02/25,-,-,300,40,-,-,
효자동,7**,백령로119번길,다가구,29.7,-,02/25,-,-,500,40,-,-,
효자동,6**,도화길6번길,다가구,22.4,-,02/25,-,-,300,27,-,-,
효자동,6**,서부대성로173번길,단독,16.53,-,02/24,-,-,"1,000",10,-,-,
효자동,3**,,다가구,24,-,02/24,-,-,"6,000",0,-,-,
효자동,1*,백령로165번길,단독,28,-,02/24,-,-,"7,500",0,-,-,
효자동,1**,백령로61번길,단독,21,-,02/24,-,-,"5,000",0,-,-,
효자동,1*,백령로165번길,단독,33,-,02/23,-,-,"7,500",0,-,-,
효자동,5**,효명길,단독,76.48,-,02/23,-,-,500,40,-,-,
효자동,1**,,다가구,18.62,-,02/23,-,-,"5,000",0,-,-,
효자동,6**,닥나무길9번길,다가구,26.45,-,02/23,-,-,500,35,-,-,
효자동,1*,으뜸길,단독,25,-,02/22,-,-,"5,000",0,-,-,
효자동,6**,두하길,다가구,45,-,02/22,-,-,"7,500",0,-,-,
효자동,7**,전원길,다가구,49.5,-,02/22,-,-,"10,000",0,-,-,
효자동,1**,돌담길,다가구,33,-,02/22,-,-,200,36,-,-,
효자동,1*,백령로165번길,다가구,28,-,02/21,-,-,100,30,-,-,
효자동,1**,백령로23번길,단독,29,-,02/21,-,-,"4,000",0,-,-,
효자동,3**,공지로252번길,다가구,24,-,02/20,-,-,"6,000",0,-,-,
효자동,6**,서부대성로227번길,다가구,30,-,02/19,-,-,"5,000",0,-,-,
효자동,7**,백령로107번길,단독,46.48,-,02/19,-,-,"6,500",0,-,-,
효자동,4**,효자문길11번길,단독,35,-,02/19,-,-,"1,500",40,-,-,
효자동,7**,삭주로80번길,다가구,85,-,02/19,-,-,"10,000",0,-,-,
효자동,7**,서부대성로206번길,단독,16.5,-,02/18,-,-,200,30,-,-,
효자동,1**,공지로280번길,단독,19,-,02/17,-,-,"5,500",0,-,-,
효자동,7**,백령로115번길,다가구,22.81,-,02/17,-,-,200,32,-,-,
효자동,3**,공지로252번길,다가구,21,-,02/17,-,-,"6,000",0,-,-,
효자동,1**,둥지길,단독,28,-,02/17,-,-,900,40,-,-,
효자동,1**,돌담길,다가구,26.4,-,02/15,-,-,50,32,-,-,
효자동,1**,법원뒷길,다가구,26.58,-,02/15,-,-,100,25,-,-,
효자동,1**,돌담길,다가구,22.19,-,02/14,-,-,"4,500",0,-,-,
효자동,1**,법원뒷길,다가구,25,-,02/14,-,-,"2,000",0,-,-,
효자동,7**,춘천로,단독,20,-,02/14,-,-,"5,000",0,-,-,
