법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
후평동,5**,삭주로80번길,단독,74.68,-,03/30,-,-,500,45,-,-,
후평동,8**,보안길,단독,40,-,03/29,-,-,"2,500",0,-,-,
후평동,7**,만천로227번길,단독,56,-,03/28,-,-,400,44,-,-,
후평동,4**,으뜸길4번길,다가구,40,-,03/26,-,-,300,43,-,-,
후평동,1**,뒷들길,단독,50.42,-,03/24,-,-,"4,000",0,-,-,
후평동,7**,만천로195번길,다가구,40,-,03/24,-,-,300,39,-,-,
후평동,2**,후석로420번길,단독,45.77,-,03/23,-,-,"4,300",0,-,-,
후평동,8**,세실로,단독,83,-,03/21,-,-,"1,000",35,-,-,
후평동,7**,춘천로426번길,단독,57.64,-,03/21,-,-,"5,000",0,-,-,
후평동,8**,삭주로108번길,단독,82.65,-,03/21,-,-,500,35,-,-,
후평동,8**,후석로,다가구,53,-,03/20,-,-,"7,000",0,-,-,
후평동,8**,대양당길9번길,단독,26,-,03/20,-,-,200,25,-,-,
후평동,7**,만천로215번길,다가구,98.44,-,03/19,-,-,"12,000",0,-,-,
후평동,7**,만천로215번길,다가구,109.09,-,03/19,-,-,"12,000",0,-,-,
후평동,5**,후석로441번길,단독,27,-,03/17,-,-,"4,000",0,-,-,
후평동,8**,세실로192번길,단독,99.39,-,03/17,-,-,"6,500",0,-,-,
후평동,4**,보안길,단독,88.58,-,03/16,-,-,"5,000",0,-,-,
후평동,6**,춘천로310번길,단독,48,-,03/15,-,-,300,33,-,-,
후평동,7**,만천로227번길,단독,56,-,03/15,-,-,"8,000",0,-,-,
후평동,6**,춘천로,단독,100.08,-,03/15,-,-,"5,000",0,-,-,
후평동,5**,후석로441번길,단독,27,-,03/14,-,-,"3,000",0,-,-,
후평동,8**,삭주로108번길,단독,73,-,03/14,-,-,"6,500",0,-,-,
후평동,8**,후석로250번길,단독,69.93,-,03/13,-,-,"6,000",0,-,-,
후평동,8**,복골길,단독,56.49,-,03/13,-,-,"6,500",0,-,-,
후평동,5**,삭주로108번길,단독,29.7,-,03/12,-,-,500,27,-,-,
후평동,7**,후석로455번길,단독,72.24,-,03/10,-,-,500,40,-,-,
후평동,1**,뒷들길,다가구,33,-,03/09,-,-,"2,500",0,-,-,
후평동,7**,후석로455번길,단독,83.88,-,03/09,-,-,"5,000",10,-,-,
후평동,1**,뒷들길,다가구,33,-,03/09,-,-,"2,500",0,-,-,
후평동,2**,춘천로407번길,다가구,29.03,-,03/07,-,-,"4,000",0,-,-,
후평동,8**,부평길8번길,다가구,49.72,-,03/07,-,-,500,35,-,-,
후평동,8**,후석로379번길,단독,30,-,03/05,-,-,300,38,-,-,
후평동,5**,후석로441번길,단독,23,-,03/01,-,-,"4,000",0,-,-,
후평동,4**,으뜸길4번길,다가구,37.8,-,03/01,-,-,300,42,-,-,
후평동,2**,춘천로407번길,단독,19.75,-,03/01,-,-,300,33,-,-,
