법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
퇴계동,8**,공원2길,단독,43,-,03/30,-,-,"1,000",19,-,-,
퇴계동,9**,행촌로32번길,다가구,33.05,-,03/30,-,-,300,43,-,-,
퇴계동,8**,춘주로195번길,다가구,19.8,-,03/27,-,-,200,32,-,-,
퇴계동,3**,퇴계로77번길,단독,17.63,-,03/25,-,-,"1,500",0,-,-,
퇴계동,3**,퇴계로77번길,다가구,35.84,-,03/22,-,-,500,45,-,-,
퇴계동,9**,퇴계로145번길,단독,59.5,-,03/22,-,-,"8,500",0,-,-,
퇴계동,1***,,다가구,55,-,03/18,-,-,"6,000",0,-,-,
퇴계동,9**,퇴계로145번길,다가구,30,-,03/18,-,-,500,23,-,-,
퇴계동,1***,우묵길56번길,다가구,69,-,03/18,-,-,"4,000",45,-,-,
퇴계동,3**,퇴계로93번길,단독,30,-,03/11,-,-,"4,500",0,-,-,
퇴계동,1***,승지골길,다가구,23,-,03/07,-,-,"3,500",0,-,-,
퇴계동,9**,춘주로147번길,다가구,23,-,03/07,-,-,"4,500",0,-,-,
퇴계동,9**,퇴계로,다가구,33,-,03/06,-,-,300,30,-,-,
퇴계동,9**,,다가구,29.16,-,03/06,-,-,"4,000",0,-,-,
퇴계동,9**,행촌로32번길,다가구,119.72,-,03/04,-,-,"17,000",0,-,-,
퇴계동,1***,남춘로5번길,단독,30,-,03/04,-,-,"4,000",0,-,-,
퇴계동,1***,남춘천길5번길,단독,30,-,03/03,-,-,300,41,-,-,
퇴계동,3**,퇴계로77번길,단독,60,-,03/02,-,-,"6,000",0,-,-,
퇴계동,3**,퇴계로93번길,다가구,19.8,-,03/02,-,-,"3,000",0,-,-,
