법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
후평동,6**,성심로47번길,다가구,25,신규,01/31,24.02-25.02,-,300,45,-,-,
후평동,2**,,다가구,24,-,01/31,-,-,300,30,-,-,
후평동,1**,공단로70번길,단독,45,신규,01/31,24.02-26.02,-,"10,000",0,-,-,
후평동,1**,,단독,45,신규,01/31,24.02-26.02,-,"10,000",0,-,-,
후평동,7**,삭주로,다가구,48.09,신규,01/30,24.02-26.02,-,"7,000",0,-,-,
후평동,8**,후석로250번길,다가구,55,신규,01/30,24.02-26.02,-,"1,000",50,-,-,
후평동,8**,세실로,단독,56,신규,01/29,24.02-26.02,-,"2,000",35,-,-,
후평동,6**,춘천로295번길,다가구,27,신규,01/29,24.02-26.02,-,"8,000",0,-,-,
후평동,8**,복골길,다가구,26.15,신규,01/29,24.01-26.03,-,200,10,-,-,
후평동,3**,성심로47번길,단독,82,신규,01/29,24.03-26.03,-,"9,000",0,-,-,
후평동,6**,삭주로80번길,다가구,26,신규,01/28,24.02-25.02,-,300,40,-,-,
후평동,7**,만천로205번길,다가구,25,신규,01/28,24.02-25.02,-,300,39,-,-,
후평동,3**,춘천로295번길,단독,84.81,신규,01/28,24.02-26.02,-,"12,000",0,-,-,
후평동,1**,뒷들길,다가구,26,신규,01/27,24.02-25.02,-,"1,000",20,-,-,
후평동,8**,삭주로108번길,다가구,26,신규,01/27,24.02-25.02,-,300,40,-,-,
후평동,8**,후석로393번길,다가구,164.78,신규,01/27,24.02-26.02,-,300,35,-,-,
후평동,5**,후석로441번길,단독,79.47,신규,01/27,24.02-26.02,-,"13,000",0,-,-,
후평동,8**,삭주로108번길,다가구,28.63,신규,01/27,24.02-25.02,-,300,43,-,-,
후평동,8**,후석로379번길,단독,28,신규,01/25,24.02-25.02,-,300,40,-,-,
후평동,7**,후석로370번길,다가구,45,신규,01/25,24.02-26.02,-,"8,500",0,-,-,
후평동,7**,삭주로128번길,다가구,32.8,-,01/24,-,-,"4,000",0,-,-,
후평동,6**,성심로47번길,단독,33,신규,01/24,24.02-26.02,-,300,45,-,-,
후평동,7**,삭주로128번길,단독,32.8,-,01/24,-,-,"4,000",0,-,-,
후평동,8**,후석로,단독,56.19,신규,01/23,24.02-26.02,-,"8,000",0,-,-,
후평동,7**,,다가구,45,-,01/23,-,-,"11,000",0,-,-,
후평동,2**,후석로420번길,단독,33,신규,01/22,24.02-26.02,-,"7,000",0,-,-,
후평동,6**,성심로35번길,단독,70.71,신규,01/22,24.01-26.01,-,300,35,-,-,
후평동,7**,만천로199번길,다가구,47.82,갱신,01/22,-,사용,"12,000",0,"12,000",0,
후평동,6**,효평길,다가구,25,신규,01/22,24.02-25.02,-,300,37,-,-,
후평동,7**,만천로199번길,다가구,45,신규,01/22,24.02-26.02,-,"6,500",0,-,-,
후평동,7**,후석로390번길,다가구,30,신규,01/22,24.01-25.01,-,100,20,-,-,
후평동,7**,후석로390번길,단독,33,신규,01/22,24.01-25.01,-,300,35,-,-,
후평동,7**,삭주로,다가구,48,신규,01/21,24.02-26.02,-,"7,000",0,-,-,
후평동,8**,삭주로80번길,다가구,33,신규,01/20,24.01-26.01,-,300,39,-,-,
후평동,8**,삭주로80번길,다가구,94.32,신규,01/20,24.02-26.02,-,"1,000",70,-,-,
후평동,7**,후석로380번길,다가구,39,신규,01/19,24.03-26.03,-,500,60,-,-,
후평동,7**,춘천로426번길,단독,33,신규,01/19,24.01-25.01,-,300,43,-,-,
후평동,5**,후석로441번길,다가구,45.36,신규,01/19,24.02-26.02,-,"10,000",0,-,-,
후평동,7**,후석로370번길,다가구,45,신규,01/19,24.02-25.02,-,500,51,-,-,
후평동,1**,뒷들길,다가구,26,신규,01/18,24.02-25.02,-,200,30,-,-,
후평동,3**,후석로369번길,단독,54,신규,01/18,24.02-26.02,-,"1,000",40,-,-,
후평동,7**,만천로249번길,다가구,36.3,신규,01/18,24.01-26.01,-,500,56,-,-,
후평동,6**,성심로47번길,단독,39.6,-,01/17,-,-,"1,000",20,-,-,
후평동,7**,만천로195번길,다가구,27,신규,01/17,24.02-25.02,-,300,45,-,-,
후평동,7**,만천로199번길,다가구,26.47,신규,01/17,24.02-26.02,-,"8,000",0,-,-,
후평동,8**,세실로192번길,단독,25,-,01/16,-,-,300,20,-,-,
후평동,8**,후석로379번길,다가구,28,신규,01/16,24.02-25.02,-,300,40,-,-,
후평동,7**,,다가구,26,-,01/16,-,-,300,45,-,-,
후평동,7**,만천로227번길,다가구,27,신규,01/16,24.02-25.02,-,300,42,-,-,
후평동,7**,만천로195번길,다가구,26,신규,01/16,24.01-25.01,-,300,45,-,-,
후평동,7**,성심로47번길,단독,59.16,신규,01/14,24.02-26.02,-,500,40,-,-,
후평동,8**,세실로192번길,단독,33,신규,01/14,24.01-25.01,-,300,37,-,-,
후평동,6**,춘천로295번길,단독,33,신규,01/13,24.01-25.01,-,300,38,-,-,
후평동,8**,삭주로80번길,다가구,33,-,01/13,-,-,"6,000",20,-,-,
후평동,7**,만천로195번길,다가구,24,신규,01/13,24.02-25.01,-,300,35,-,-,
후평동,7**,만천로195번길,다가구,28,신규,01/13,24.01-25.01,-,300,42,-,-,
후평동,8**,삭주로108번길,다가구,34.8,신규,01/13,24.01-25.01,-,300,40,-,-,
후평동,5**,춘천로281번길,단독,105.32,신규,01/13,24.02-26.02,-,"2,000",80,-,-,
후평동,2**,공단로60번길,다가구,48,신규,01/13,24.03-26.03,-,500,55,-,-,
후평동,8**,삭주로108번길,다가구,34.8,신규,01/13,24.01-25.01,-,300,40,-,-,
후평동,4**,,단독,28,-,01/12,-,-,300,40,-,-,
후평동,7**,삭주로206번길,단독,29,신규,01/12,24.01-25.01,-,300,43,-,-,
후평동,5**,춘천로269번길,다가구,26,신규,01/12,24.02-25.02,-,300,39,-,-,
후평동,7**,춘천로426번길,단독,25,신규,01/10,24.01-25.01,-,300,40,-,-,
후평동,8**,세실로192번길,단독,50,신규,01/10,24.02-26.02,-,"8,000",0,-,-,
후평동,7**,만천로239번길,다가구,26,신규,01/10,24.02-25.02,-,300,40,-,-,
후평동,5**,후석로441번길,다가구,84.6,신규,01/09,24.02-26.02,-,"13,000",0,-,-,
후평동,7**,만천로199번길,단독,43,신규,01/09,24.02-25.02,-,500,50,-,-,
후평동,7**,만천로195번길,단독,28,신규,01/09,24.02-25.01,-,300,45,-,-,
후평동,7**,만천로199번길,다가구,43,신규,01/09,24.02-25.02,-,500,50,-,-,
후평동,8**,세실로192번길,단독,33,신규,01/08,24.01-25.01,-,300,37,-,-,
후평동,7**,만천로239번길,다가구,30,신규,01/08,24.02-26.02,-,"8,500",0,-,-,
후평동,7**,만천로,다가구,43,신규,01/08,24.01-25.01,-,300,40,-,-,
후평동,7**,만천로239번길,다가구,30,신규,01/08,24.02-26.02,-,"8,500",0,-,-,
후평동,6**,성심로47번길,단독,30,신규,01/07,24.01-26.01,-,"8,000",0,-,-,
후평동,9*,후석로344번길,다가구,55,신규,01/06,24.01-25.01,-,500,53,-,-,
후평동,5**,후석로441번길,다가구,49.95,신규,01/06,24.01-26.01,-,"12,000",0,-,-,
후평동,5**,삭주로94번길,단독,25,신규,01/06,24.01-25.01,-,300,40,-,-,
후평동,7**,성심로47번길,다가구,28,갱신,01/06,24.02-25.02,-,400,34,400,30,
후평동,7**,춘천로309번길,단독,75.48,갱신,01/06,24.01-26.01,사용,500,42,500,40,
후평동,7**,보안길,단독,24,-,01/06,-,-,100,25,-,-,
후평동,8**,삭주로108번길,단독,26,신규,01/05,24.01-25.01,-,300,40,-,-,
후평동,6**,효평길,다가구,28,신규,01/05,24.02-25.02,-,500,43,-,-,
후평동,7**,만천로205번길,다가구,30,-,01/04,-,-,"6,000",0,-,-,
후평동,4**,춘천로282번길,단독,35.19,-,01/04,-,-,"5,000",0,-,-,
후평동,8**,후석로393번길,단독,66.64,신규,01/04,24.01-26.01,-,500,45,-,-,
후평동,7**,만천로239번길,다가구,40,신규,01/04,24.02-26.02,-,"10,000",0,-,-,
후평동,8**,춘천로269번길,다가구,30,신규,01/03,24.01-25.01,-,300,43,-,-,
후평동,7**,춘천로,단독,123.2,신규,01/03,24.01-26.01,-,500,55,-,-,
후평동,7**,후석로370번길,다가구,45,신규,01/02,24.01-25.01,-,500,60,-,-,
후평동,6**,효평길,단독,28,신규,01/01,24.01-24.12,-,500,43,-,-,
후평동,6**,효평길,단독,28,신규,01/01,24.01-25.01,-,500,40,-,-,
