법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
퇴계동,1***,안마산로,다가구,125.32,-,02/25,-,-,"11,000",0,-,-,
퇴계동,1***,우묵길74번길,다가구,42.06,-,02/25,-,-,300,36,-,-,
퇴계동,1***,안마산로,다가구,125.32,-,02/25,-,-,"11,000",0,-,-,
퇴계동,8**,영서로2269번길,단독,32.72,-,02/22,-,-,"3,000",0,-,-,
퇴계동,9**,춘주로147번길,단독,60,-,02/22,-,-,"7,000",0,-,-,
퇴계동,8**,충혼길8번길,다가구,55.38,-,02/22,-,-,"6,000",0,-,-,
퇴계동,1***,퇴계로,다가구,33,-,02/20,-,-,300,35,-,-,
퇴계동,8**,춘주로193번길,단독,63,-,02/20,-,-,"5,000",0,-,-,
퇴계동,8**,공원2길,단독,90.6,-,02/19,-,-,"7,500",0,-,-,
퇴계동,9**,,다가구,118.31,-,02/18,-,-,"2,000",50,-,-,
퇴계동,9**,,단독,118.31,-,02/18,-,-,"2,000",0,-,-,
퇴계동,8**,공원2길,다가구,33,-,02/17,-,-,400,20,-,-,
퇴계동,3**,퇴계로77번길,다가구,111.87,-,02/15,-,-,"1,000",55,-,-,
퇴계동,9**,퇴계로145번길,다가구,30,-,02/13,-,-,"3,500",0,-,-,
퇴계동,1***,승지골길,다가구,60,-,02/05,-,-,500,40,-,-,
퇴계동,3**,퇴계로77번길,다가구,29.7,-,02/05,-,-,300,35,-,-,
퇴계동,8**,공원2길,다가구,34,-,02/04,-,-,100,20,-,-,
퇴계동,3**,춘주로,다가구,60,-,02/01,-,-,200,30,-,-,
