법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
석사동,6**,효석로,다가구,66.2,-,04/30,-,-,"4,500",0,-,-,
석사동,7**,우석로79번길,다가구,27.76,-,04/28,-,-,"6,000",0,-,-,
석사동,4**,후석로66번길,다가구,30,-,04/25,-,-,"6,000",0,-,-,
석사동,6**,후석로46번길,다가구,53,-,04/23,-,-,"6,000",0,-,-,
석사동,9**,스무숲1길,다가구,24,-,04/23,-,-,300,35,-,-,
석사동,6**,효석로135번길,단독,33,-,04/21,-,-,300,30,-,-,
석사동,3**,외솔길,다가구,33,-,04/21,-,-,"4,000",0,-,-,
석사동,8**,새롬공원길4번길,다가구,65,-,04/18,-,-,500,20,-,-,
석사동,9**,,다가구,25,-,04/18,-,-,"4,000",0,-,-,
석사동,7**,우석로85번길,다가구,87.89,-,04/16,-,-,"7,000",0,-,-,
석사동,8**,새롬공원길9번길,다가구,75.55,-,04/16,-,-,"10,000",0,-,-,
석사동,9**,스무숲2길,다가구,42,-,04/15,-,-,200,25,-,-,
석사동,6**,벌말길47번길,다가구,114.32,-,04/13,-,-,"7,000",0,-,-,
석사동,7**,우석로79번길,단독,103.69,-,04/13,-,-,"8,000",0,-,-,
석사동,9**,,다가구,25,-,04/11,-,-,"4,000",0,-,-,
석사동,6**,후석로,다가구,59.9,-,04/10,-,-,"8,000",0,-,-,
석사동,6**,후석로,다가구,59.9,-,04/10,-,-,"8,000",0,-,-,
석사동,6**,효석로135번길,단독,103.82,-,04/09,-,-,"10,000",0,-,-,
석사동,6**,후석로,다가구,23.14,-,04/08,-,-,200,23,-,-,
석사동,7**,후석로45번길,다가구,63,-,04/08,-,-,"4,500",0,-,-,
석사동,8**,새롬공원길5번길,다가구,59,-,04/08,-,-,"6,500",0,-,-,
석사동,7**,우석로79번길,다가구,114.05,-,04/05,-,-,"12,000",0,-,-,
석사동,7**,우석로,다가구,60,-,04/05,-,-,"5,500",0,-,-,
석사동,9**,스무숲2길,단독,27,-,04/04,-,-,200,30,-,-,
석사동,6**,석사길5번길,단독,98.38,-,04/01,-,-,"9,000",0,-,-,
석사동,8**,새롬공원길5번길,단독,122.66,-,04/01,-,-,"2,500",55,-,-,
