법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
퇴계동,8**,충혼길,단독,76.38,-,04/30,-,-,"3,000",40,-,-,
퇴계동,8**,공원4길,다가구,54.66,-,04/27,-,-,"4,500",0,-,-,
퇴계동,5**,행촌로,다가구,49,-,04/26,-,-,"10,000",0,-,-,
퇴계동,8**,공원3길,다가구,54,-,04/26,-,-,"5,500",0,-,-,
퇴계동,9**,춘주로147번길,단독,56.43,-,04/26,-,-,500,35,-,-,
퇴계동,1**,김유정로,다가구,33,-,04/23,-,-,"7,000",0,-,-,
퇴계동,4**,미나리길11번길,단독,69.3,-,04/23,-,-,200,40,-,-,
퇴계동,3**,퇴계로77번길,다가구,40,-,04/21,-,-,300,40,-,-,
퇴계동,1***,우묵길70번길,다가구,37.8,-,04/21,-,-,500,40,-,-,
퇴계동,9**,행촌로,다가구,30,-,04/20,-,-,"3,500",0,-,-,
퇴계동,9**,춘주로179번길,다가구,28,-,04/18,-,-,300,20,-,-,
퇴계동,1***,우묵길70번길,다가구,45,-,04/18,-,-,"8,000",0,-,-,
퇴계동,1***,남춘로36번길,다가구,33.06,-,04/15,-,-,300,40,-,-,
퇴계동,1***,퇴계로,다가구,26,-,04/13,-,-,"3,000",0,-,-,
퇴계동,9**,퇴계로145번길,다가구,33,-,04/06,-,-,"3,500",0,-,-,
퇴계동,9**,퇴계로146번길,단독,33,-,04/05,-,-,"3,000",0,-,-,
퇴계동,1***,퇴계로,단독,49,-,04/05,-,-,500,53,-,-,
퇴계동,9**,춘주로179번길,다가구,60,-,04/05,-,-,"7,000",5,-,-,
퇴계동,8**,춘주로193번길,다가구,26.4,-,04/04,-,-,200,20,-,-,
퇴계동,1***,승지골길13번길,다가구,100,-,04/04,-,-,"17,000",0,-,-,
퇴계동,1***,퇴계로93번길,다가구,30,-,04/04,-,-,"5,500",0,-,-,
퇴계동,8**,춘주로187번길,다가구,24.63,-,04/03,-,-,"5,000",0,-,-,
퇴계동,8**,공원3길,다가구,30.3,-,04/03,-,-,"5,500",10,-,-,
