법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
효자동,7**,삭주로80번길,단독,31,-,02/28,-,-,"4,500",0,-,-,
효자동,6**,효자로102번길,단독,33.48,-,02/28,-,-,"5,000",0,-,-,
효자동,1**,둥지길,다가구,20,-,02/28,-,-,100,26,-,-,
효자동,1*,,다가구,27,-,02/28,-,-,300,43,-,-,
효자동,1*,백령로165번길,다가구,33,-,02/28,-,-,300,43,-,-,
효자동,3*,,다가구,23,-,02/28,-,-,"2,000",7,-,-,
효자동,1**,법원뒷길,다가구,20,-,02/28,-,-,300,33,-,-,
효자동,1**,백령로23번길,다가구,19,-,02/26,-,-,"5,000",0,-,-,
효자동,3**,공지로252번길,다가구,33,-,02/26,-,-,"7,000",0,-,-,
효자동,1**,도화길6번길,다가구,50,-,02/26,-,-,"9,000",0,-,-,
효자동,1**,백령로23번길,다가구,22.93,-,02/25,-,-,"4,000",0,-,-,
효자동,3**,공지로252번길,다가구,26,-,02/25,-,-,"8,000",0,-,-,
효자동,1**,백령로75번길,다가구,57.88,-,02/25,-,-,"5,000",0,-,-,
효자동,1**,둥지길,다가구,33,-,02/24,-,-,"6,000",0,-,-,
효자동,1**,둥지길,다가구,33,-,02/24,-,-,"6,000",0,-,-,
효자동,4*,,다가구,39,-,02/24,-,-,"3,500",0,-,-,
효자동,1**,,다가구,24,-,02/23,-,-,300,36,-,-,
효자동,1**,백령로67번길,다가구,26.4,-,02/23,-,-,100,28,-,-,
효자동,1**,백령로23번길,다가구,60,-,02/23,-,-,"6,000",0,-,-,
효자동,1**,백령로23번길,다가구,39.7,-,02/23,-,-,"6,000",0,-,-,
효자동,1**,둥지길47번길,단독,30,-,02/23,-,-,"4,500",0,-,-,
효자동,3**,공지로252번길,다가구,21,-,02/23,-,-,300,30,-,-,
효자동,6**,두하길,다가구,33,-,02/23,-,-,"7,000",0,-,-,
효자동,7**,백령로,단독,22,-,02/23,-,-,"4,000",0,-,-,
효자동,3**,공지로252번길,다가구,39,-,02/23,-,-,"8,000",0,-,-,
효자동,1**,,다가구,25,-,02/22,-,-,"5,500",0,-,-,
효자동,3**,남춘천새길41번길,다가구,26,-,02/22,-,-,300,34,-,-,
효자동,7**,효평길,단독,62.35,-,02/22,-,-,"8,500",0,-,-,
효자동,3*,백령로147번길,다가구,23.14,-,02/21,-,-,50,15,-,-,
효자동,1**,효제길23번길,다가구,18.27,-,02/21,-,-,"3,000",0,-,-,
효자동,1**,효제길23번길,단독,21.86,-,02/21,-,-,"5,500",0,-,-,
효자동,1**,,단독,25,-,02/21,-,-,"5,000",0,-,-,
효자동,7**,춘천로296번길,다가구,30,-,02/21,-,-,300,42,-,-,
효자동,1**,효제길23번길,다가구,30,-,02/21,-,-,"3,500",0,-,-,
효자동,1**,둥지길47번길,다가구,24,-,02/20,-,-,"4,500",0,-,-,
효자동,3**,공지로252번길,다가구,31.48,-,02/20,-,-,300,38,-,-,
효자동,3**,공지로252번길,단독,19,-,02/20,-,-,"4,000",0,-,-,
효자동,7**,,다가구,45,-,02/20,-,-,"10,000",0,-,-,
효자동,1**,효제길23번길,다가구,27,-,02/20,-,-,"6,000",0,-,-,
효자동,1**,,다가구,21.7,-,02/20,-,-,"2,000",15,-,-,
효자동,1**,둥지길47번길,단독,26.4,-,02/20,-,-,"4,500",0,-,-,
효자동,1**,백령로23번길,다가구,30,-,02/20,-,-,"7,000",0,-,-,
효자동,1**,백령로67번길,다가구,25.06,-,02/20,-,-,"6,000",0,-,-,
효자동,7**,백령로119번길,다가구,33,-,02/20,-,-,"6,000",0,-,-,
효자동,7**,효평길,단독,33,-,02/20,-,-,"1,000",40,-,-,
효자동,7**,백령로,다가구,22,-,02/19,-,-,"4,000",0,-,-,
효자동,6**,효평길,다가구,40,-,02/19,-,-,"9,000",0,-,-,
효자동,1*,으뜸길,단독,25,-,02/19,-,-,"6,000",0,-,-,
효자동,1**,백령로23번길,다가구,39,-,02/19,-,-,"5,000",0,-,-,
효자동,3**,공지로252번길,다가구,33,-,02/18,-,-,"6,500",0,-,-,
효자동,7**,백령로111번길,단독,22,-,02/18,-,-,300,36,-,-,
효자동,1*,백령로,단독,27,-,02/18,-,-,"3,500",0,-,-,
효자동,6**,효자로150번길,다가구,30,-,02/17,-,-,"7,000",0,-,-,
효자동,1**,둥지길,다가구,23.1,-,02/17,-,-,"5,000",0,-,-,
효자동,4*,성심로,단독,36,-,02/16,-,-,"5,000",0,-,-,
효자동,6**,도화길6번길,다가구,30,-,02/16,-,-,"3,500",0,-,-,
효자동,6**,춘천로64번길,다가구,33,-,02/16,-,-,300,38,-,-,
효자동,6**,효자로102번길,다가구,23.1,-,02/16,-,-,"5,000",0,-,-,
효자동,6**,서부대성로173번길,단독,25,-,02/15,-,-,"4,500",0,-,-,
효자동,1**,법원뒷길,다가구,30,-,02/15,-,-,"4,500",0,-,-,
효자동,1**,백령로,다가구,30,-,02/15,-,-,"5,000",0,-,-,
효자동,1**,백령로23번길,다가구,28,-,02/15,-,-,"4,000",0,-,-,
효자동,1**,청운길29번길,다가구,25,-,02/15,-,-,"4,500",0,-,-,
효자동,6**,,단독,25,-,02/15,-,-,"5,000",0,-,-,
효자동,1**,백령로61번길,단독,25,-,02/15,-,-,"5,000",0,-,-,
효자동,1**,미려골길,단독,40,-,02/15,-,-,200,35,-,-,
효자동,1**,공지로264번길,다가구,23.1,-,02/15,-,-,100,30,-,-,
효자동,1**,둥지길47번길,다가구,30,-,02/14,-,-,"4,500",0,-,-,
효자동,1**,백령로23번길,다가구,24.36,-,02/14,-,-,"3,000",15,-,-,
효자동,1**,백령로25번길,다가구,23,-,02/14,-,-,"3,000",0,-,-,
효자동,3**,공지로252번길,다가구,20,-,02/11,-,-,"5,000",0,-,-,
효자동,1**,,다가구,30,-,02/11,-,-,"5,000",0,-,-,
효자동,4*,성심로,단독,36,-,02/11,-,-,"5,000",0,-,-,
효자동,3**,공지로264번길,다가구,27,-,02/10,-,-,"4,000",0,-,-,
효자동,6**,서부대성로227번길,단독,24,-,02/09,-,-,"5,000",0,-,-,
효자동,1**,둥지길47번길,다가구,30,-,02/09,-,-,"3,000",0,-,-,
효자동,1**,둥지길,다가구,46.97,-,02/09,-,-,500,55,-,-,
효자동,3**,백령로,단독,21,-,02/09,-,-,"5,500",0,-,-,
효자동,7**,백령로111번길,다가구,22,-,02/09,-,-,300,36,-,-,
효자동,1**,서부대성로184번길,다가구,49.59,-,02/08,-,-,"1,000",20,-,-,
효자동,2**,공지로242번길,단독,36,-,02/08,-,-,300,43,-,-,
효자동,1**,서부대성로184번길,다가구,36.3,-,02/08,-,-,"5,500",0,-,-,
효자동,1**,백령로23번길,단독,27,-,02/08,-,-,"4,000",0,-,-,
효자동,1**,법원뒷길,다가구,39,-,02/08,-,-,"8,500",0,-,-,
효자동,6**,서부대성로227번길,단독,18,-,02/08,-,-,"3,000",0,-,-,
효자동,1**,백령로23번길,다가구,25,-,02/08,-,-,"5,000",0,-,-,
효자동,1**,청운길29번길,다가구,25,-,02/08,-,-,100,35,-,-,
