법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
후평동,7**,춘천로,다가구,45,신규,05/30,22.06-24.06,-,500,60,-,-,
후평동,6**,효평길,단독,28,신규,05/30,22.05-23.05,-,300,43,-,-,
후평동,5**,춘천로281번길,단독,63.63,신규,05/29,22.05-23.05,-,300,40,-,-,
후평동,8**,복골길18번길,단독,49,신규,05/28,22.07-24.07,-,500,35,-,-,
후평동,4**,춘천로296번길,다가구,30,신규,05/27,22.05-24.05,-,"7,000",0,-,-,
후평동,9*,수풍골길13번길,다가구,19.1,-,05/26,-,-,"1,200",10,-,-,
후평동,8**,복골길18번길,단독,55.56,신규,05/26,22.06-24.06,-,500,45,-,-,
후평동,5**,후석로441번길,다가구,24,-,05/26,-,-,200,30,-,-,
후평동,9*,수풍골길13번길,다가구,99.3,-,05/25,-,-,"11,000",0,-,-,
후평동,2**,공단로,다가구,28,신규,05/24,22.06-23.06,-,"7,000",0,-,-,
후평동,8**,세실로208번길,다가구,48.69,-,05/24,-,-,"1,000",29,-,-,
후평동,7**,후석로370번길,다가구,45,신규,05/24,22.06-23.06,-,500,55,-,-,
후평동,7**,후석로390번길,다가구,30.97,신규,05/23,22.06-24.06,-,"7,000",0,-,-,
후평동,8**,복골길,단독,40,-,05/21,-,-,"1,000",60,-,-,
후평동,8**,복골길,다가구,40,신규,05/21,22.05-23.05,-,"1,000",60,-,-,
후평동,5**,삭주로80번길,단독,28,신규,05/21,22.05-23.05,-,300,40,-,-,
후평동,2**,공단로,다가구,92,신규,05/21,22.06-24.06,-,"1,000",68,-,-,
후평동,5**,,단독,28,-,05/21,-,-,300,40,-,-,
후평동,8**,세실로208번길,단독,66.12,신규,05/20,22.06-24.06,-,500,40,-,-,
후평동,8**,세실로208번길,단독,66.12,-,05/20,-,-,500,40,-,-,
후평동,7**,만천로195번길,단독,33,신규,05/20,22.05-23.05,-,300,48,-,-,
후평동,7**,만천로195번길,단독,33,-,05/20,-,-,300,48,-,-,
후평동,8**,,단독,58.05,-,05/20,-,-,"6,000",40,-,-,
후평동,2**,뒷들길,단독,76.47,-,05/19,-,-,"2,000",25,-,-,
후평동,7**,후석로370번길,다가구,30,신규,05/18,22.06-24.06,-,"7,500",0,-,-,
후평동,2**,뒷들길,단독,50,신규,05/18,22.05-23.05,-,500,50,-,-,
후평동,7**,삭주로128번길,다가구,28.93,-,05/17,-,-,"5,500",0,-,-,
후평동,7**,성심로47번길,단독,52.75,-,05/17,-,-,300,30,-,-,
후평동,7**,만천로195번길,단독,28,신규,05/16,22.05-23.05,-,300,38,-,-,
후평동,2**,공단로60번길,다가구,55.23,신규,05/16,22.05-24.05,-,"11,000",0,-,-,
후평동,5**,춘천로269번길,다가구,25,-,05/16,-,-,50,23,-,-,
후평동,2**,뒷들길,단독,31.1,신규,05/16,22.05-23.05,-,200,34,-,-,
후평동,4**,춘천로270번길,단독,49.41,신규,05/16,22.05-24.05,-,500,45,-,-,
후평동,8**,,다가구,65.4,-,05/15,-,-,"5,000",0,-,-,
후평동,8**,복골길18번길,단독,89.1,신규,05/14,22.05-24.05,-,500,45,-,-,
후평동,7**,만천로215번길,단독,82.92,신규,05/14,22.05-24.05,-,"16,000",0,-,-,
후평동,6**,,다가구,30,-,05/13,-,-,300,43,-,-,
후평동,6**,성심로35번길,다가구,52,신규,05/13,22.06-24.06,-,500,54,-,-,
후평동,7**,부안길,다가구,28,신규,05/12,22.05-23.05,-,300,40,-,-,
후평동,6**,성심로35번길,단독,25,신규,05/12,22.05-23.05,-,300,40,-,-,
후평동,7**,삭주로128번길,단독,21.96,-,05/12,-,-,"5,000",0,-,-,
후평동,7**,춘천로,단독,88.29,신규,05/11,22.06-24.06,-,"11,000",0,-,-,
후평동,7**,만천로199번길,단독,65.34,신규,05/11,22.05-24.05,-,500,48,-,-,
후평동,6**,성심로47번길,단독,28,신규,05/10,22.05-23.05,-,300,41,-,-,
후평동,9*,후석로344번길,단독,30,-,05/09,-,-,"2,000",23,-,-,
후평동,9*,후석로344번길,다가구,25.35,갱신,05/09,22.05-23.05,-,300,35,300,35,
후평동,7**,후석로390번길,다가구,30,신규,05/09,22.05-22.11,-,200,45,-,-,
후평동,7**,만천로195번길,다가구,43,신규,05/08,22.05-24.05,-,"3,000",35,-,-,
후평동,7**,,단독,43,-,05/08,-,-,"3,000",35,-,-,
후평동,5**,후석로455번길,단독,26,신규,05/07,22.06-23.05,-,300,40,-,-,
후평동,6**,춘천로256번길,다가구,28,신규,05/07,22.05-23.05,-,300,40,-,-,
후평동,7**,춘천로426번길,다가구,45,신규,05/06,22.05-23.05,-,200,42,-,-,
후평동,7**,,단독,20,신규,05/05,22.05-24.05,-,100,35,-,-,
후평동,1**,만천로195번길,단독,55.23,신규,05/04,22.05-24.05,-,300,35,-,-,
후평동,1**,공단로70번길,다가구,57,갱신,05/03,22.05-24.05,-,"8,800",0,"8,500",0,
후평동,9*,후석로344번길,단독,64.56,-,05/03,-,-,"5,000",24,-,-,
후평동,6**,춘천로270번길,다가구,43,신규,05/03,22.05-23.05,-,0,40,-,-,
후평동,8**,후석로,단독,96.6,신규,05/02,22.06-24.06,-,"1,000",50,-,-,
후평동,7**,만천로245번길,단독,49.32,신규,05/01,22.05-24.05,-,500,40,-,-,
후평동,2**,춘천로423번길,다가구,28,신규,05/01,22.05-23.05,-,300,45,-,-,
