법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
후평동,4**,춘천로270번길,다가구,49.41,-,09/30,-,-,"6,500",0,-,-,
후평동,8**,후만로116번길,단독,94.38,-,09/29,-,-,"6,000",0,-,-,
후평동,8**,부평길,다가구,33,-,09/29,-,-,"1,000",35,-,-,
후평동,5**,삭주로108번길,단독,59.1,-,09/29,-,-,500,35,-,-,
후평동,8**,후석로,단독,124.88,-,09/26,-,-,"4,500",0,-,-,
후평동,7*,보안길,단독,56.86,-,09/26,-,-,"5,000",0,-,-,
후평동,5**,춘천로269번길,단독,94.42,-,09/24,-,-,"6,000",0,-,-,
후평동,2**,뒷들길,다가구,40,-,09/22,-,-,"3,200",0,-,-,
후평동,8**,대양당길9번길,다가구,63,-,09/21,-,-,"6,000",0,-,-,
후평동,8**,삭주로108번길,단독,60,-,09/18,-,-,200,40,-,-,
후평동,8**,후만로116번길,단독,65.8,-,09/17,-,-,"3,000",0,-,-,
후평동,8**,부평길8번길,다가구,129.39,-,09/17,-,-,"7,500",0,-,-,
후평동,5**,성심로47번길,단독,90.75,-,09/16,-,-,500,45,-,-,
후평동,6**,춘천로,단독,84,-,09/15,-,-,"5,300",0,-,-,
후평동,8**,후석로258번길,다가구,50,-,09/14,-,-,300,23,-,-,
후평동,5**,삭주로80번길,다가구,66,-,09/10,-,-,"3,000",0,-,-,
후평동,7**,삭주로206번길,다가구,48,-,09/05,-,-,"7,000",0,-,-,
후평동,7**,만천로199번길,단독,40,-,09/05,-,-,"2,500",0,-,-,
후평동,5**,후석로441번길,다가구,27,-,09/04,-,-,"3,000",0,-,-,
후평동,7**,만천로227번길,다가구,79.33,-,09/04,-,-,"1,500",43,-,-,
후평동,8**,복골길,단독,84.37,-,09/03,-,-,"5,000",0,-,-,
후평동,7**,삭주로206번길,다가구,48,-,09/02,-,-,"6,000",0,-,-,
후평동,8**,후석로393번길,단독,82,-,09/02,-,-,"1,000",30,-,-,
후평동,8**,삭주로108번길,단독,86.68,-,09/02,-,-,"1,000",35,-,-,
후평동,7**,만천로199번길,단독,67.05,-,09/01,-,-,"4,000",10,-,-,
