법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
효자동,1**,미려골길,다가구,20,-,07/31,-,-,"5,500",0,-,-,
효자동,1**,돌담길10번길,단독,30,-,07/31,-,-,200,28,-,-,
효자동,1**,소전길,단독,33.05,-,07/31,-,-,"4,000",0,-,-,
효자동,1**,둥지길,다가구,20,-,07/31,-,-,"3,500",0,-,-,
효자동,1**,효제길23번길,다가구,35.26,-,07/31,-,-,"6,500",0,-,-,
효자동,1**,미려골길,다가구,20,-,07/31,-,-,"5,500",0,-,-,
효자동,3**,남춘천새길41번길,단독,77.85,-,07/31,-,-,"5,500",0,-,-,
효자동,1**,백령로23번길,다가구,23.23,-,07/30,-,-,"5,000",0,-,-,
효자동,4**,효자상길,다가구,56,-,07/30,-,-,"3,000",34,-,-,
효자동,7**,남춘로51번길,다가구,56,-,07/30,-,-,"6,000",0,-,-,
효자동,1**,백령로67번길,단독,21.59,-,07/30,-,-,"5,000",0,-,-,
효자동,3**,공지로264번길,다가구,15.58,-,07/29,-,-,"5,900",0,-,-,
효자동,3**,공지로264번길,다가구,15.58,-,07/29,-,-,"5,900",0,-,-,
효자동,7**,전원길,단독,30,-,07/28,-,-,300,43,-,-,
효자동,6**,춘천로204번길,단독,27,-,07/28,-,-,"5,000",0,-,-,
효자동,7**,전원길,다가구,40,-,07/27,-,-,300,43,-,-,
효자동,4*,백령로151번길,단독,60.51,-,07/27,-,-,"6,000",0,-,-,
효자동,1**,효평길20번길,단독,56.23,-,07/27,-,-,"4,000",0,-,-,
효자동,1**,효자로102번길,단독,30,-,07/26,-,-,"5,000",0,-,-,
효자동,7**,성심로,단독,19.83,-,07/26,-,-,"1,000",0,-,-,
효자동,6**,춘천로204번길,단독,29.82,-,07/26,-,-,"4,500",0,-,-,
효자동,3**,공지로252번길,다가구,26,-,07/26,-,-,"7,500",0,-,-,
효자동,3**,공지로252번길,다가구,26,-,07/26,-,-,"7,500",0,-,-,
효자동,6**,서부대성로,다가구,40,-,07/25,-,-,"6,000",0,-,-,
효자동,3**,공지로252번길,다가구,26,-,07/25,-,-,"7,500",0,-,-,
효자동,7**,남춘로51번길,다가구,30,-,07/23,-,-,"5,000",0,-,-,
효자동,1**,성심로66번길,단독,30,-,07/23,-,-,"5,000",0,-,-,
효자동,1**,백령로75번길,단독,32.19,-,07/23,-,-,"2,500",0,-,-,
효자동,1**,도화길,단독,84.78,-,07/23,-,-,"8,000",0,-,-,
효자동,3**,청운길,다가구,33,-,07/22,-,-,300,40,-,-,
효자동,1**,돌담길,다가구,35,-,07/21,-,-,"4,000",0,-,-,
효자동,1**,백령로83번길,단독,20,-,07/21,-,-,"5,000",0,-,-,
효자동,7**,전원길,다가구,30,-,07/20,-,-,300,32,-,-,
효자동,3**,공지로264번길,다가구,24.59,-,07/20,-,-,"4,600",0,-,-,
효자동,6**,,단독,99.36,-,07/20,-,-,"5,000",0,-,-,
효자동,6**,서부대성로,단독,99.36,-,07/20,-,-,"5,000",0,-,-,
효자동,1**,효평길,다가구,33,-,07/20,-,-,"6,000",0,-,-,
효자동,1**,법원뒷길,단독,75.51,-,07/19,-,-,"8,000",0,-,-,
효자동,1**,미려골길,다가구,20,-,07/19,-,-,"6,000",0,-,-,
효자동,6**,춘천로204번길,다가구,33.04,-,07/18,-,-,"6,000",0,-,-,
효자동,1**,법원뒷길,단독,33,-,07/18,-,-,"3,000",0,-,-,
효자동,1**,백령로75번길,다가구,99,-,07/18,-,-,"2,000",60,-,-,
효자동,3**,공지로252번길,다가구,26,-,07/17,-,-,"7,500",0,-,-,
효자동,3**,,다가구,23,-,07/17,-,-,"6,500",0,-,-,
효자동,3**,공지로252번길,단독,23,-,07/17,-,-,"6,500",0,-,-,
효자동,6**,춘천로204번길,다가구,33,-,07/16,-,-,"4,500",0,-,-,
효자동,1**,공지로264번길,단독,20,-,07/16,-,-,"5,000",0,-,-,
효자동,7**,전원길,단독,80.1,-,07/16,-,-,"9,500",0,-,-,
효자동,4**,효자로92번길,단독,26,-,07/16,-,-,"6,000",0,-,-,
효자동,6**,,단독,50.4,-,07/14,-,-,500,35,-,-,
효자동,7**,춘천로,다가구,40,-,07/14,-,-,"6,000",0,-,-,
효자동,4**,효자로92번길,다가구,90,-,07/14,-,-,"2,000",63,-,-,
효자동,1**,소전길20번길,단독,73.28,-,07/13,-,-,"4,000",20,-,-,
효자동,1**,백령로23번길,다가구,23.14,-,07/13,-,-,"4,000",0,-,-,
효자동,1**,백령로67번길,단독,87.94,-,07/11,-,-,"10,000",0,-,-,
효자동,7**,백령로,단독,30,-,07/11,-,-,"2,500",0,-,-,
효자동,7**,백령로115번길,단독,30,-,07/10,-,-,"4,500",0,-,-,
효자동,6**,서부대성로173번길,단독,23.14,-,07/10,-,-,"4,500",0,-,-,
효자동,7**,공지로307번길,다가구,33,-,07/08,-,-,"2,000",35,-,-,
효자동,4**,효자로92번길,단독,33,-,07/07,-,-,"6,000",0,-,-,
효자동,1**,백령로61번길,다가구,24,-,07/06,-,-,"5,000",0,-,-,
효자동,3**,공지로252번길,다가구,29,-,07/05,-,-,"7,000",0,-,-,
효자동,6**,서부대성로184번길,다가구,50,-,07/05,-,-,"6,500",0,-,-,
효자동,1**,도화길,단독,80,-,07/05,-,-,"16,000",0,-,-,
효자동,3**,공지로252번길,다가구,24,-,07/04,-,-,"7,000",0,-,-,
효자동,4*,성심로,다가구,24,-,07/04,-,-,"6,000",0,-,-,
효자동,6**,서부대성로173번길,단독,33,-,07/04,-,-,"6,000",0,-,-,
효자동,1**,돌담길10번길,단독,28,-,07/04,-,-,200,28,-,-,
효자동,4**,명주길,다가구,84.87,-,07/04,-,-,869,20,-,-,
효자동,1**,돌담길10번길,단독,28,-,07/04,-,-,200,28,-,-,
효자동,2**,공지로,단독,50,-,07/03,-,-,"9,000",0,-,-,
효자동,6**,백령로151번길,단독,128.38,-,07/02,-,-,"15,000",0,-,-,
효자동,4*,두하길25번길,다가구,112.73,-,07/02,-,-,"3,500",30,-,-,
효자동,6**,효자문길,다가구,42,-,07/02,-,-,"3,000",0,-,-,
효자동,1**,효제길,다가구,33,-,07/02,-,-,"4,000",0,-,-,
효자동,6**,춘천로204번길,단독,30,-,07/01,-,-,"6,000",0,-,-,
효자동,7**,전원길,다가구,50,-,07/01,-,-,"8,500",0,-,-,
