법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
퇴계동,8**,,단독,29.43,-,08/31,-,-,"4,000",0,-,-,
퇴계동,8**,공원3길,단독,57,-,08/30,-,-,400,32,-,-,
퇴계동,8**,백석골길22번길,단독,122.33,-,08/28,-,-,"7,000",0,-,-,
퇴계동,8**,행촌로,단독,131.02,-,08/25,-,-,"10,000",0,-,-,
퇴계동,1***,,다가구,40,-,08/21,-,-,"5,000",35,-,-,
퇴계동,1**,,다가구,50,-,08/21,-,-,"1,000",40,-,-,
퇴계동,8**,공원1길,다가구,33,-,08/18,-,-,"4,000",0,-,-,
퇴계동,9**,남춘로36번길,다가구,26,-,08/14,-,-,300,30,-,-,
퇴계동,1***,효자로14번길,다가구,26,-,08/11,-,-,"5,000",0,-,-,
퇴계동,1***,남춘천길5번길,단독,28,-,08/11,-,-,300,0,-,-,
퇴계동,4**,국사봉길,단독,38.9,-,08/11,-,-,700,0,-,-,
퇴계동,8**,충혼길5번길,단독,33,-,08/11,-,-,"5,500",0,-,-,
퇴계동,1***,효자로14번길,다가구,26,-,08/11,-,-,"7,000",0,-,-,
퇴계동,1***,효자로14번길,다가구,26,-,08/11,-,-,"6,000",0,-,-,
퇴계동,8**,공원4길,다가구,30,-,08/09,-,-,200,23,-,-,
퇴계동,1***,,다가구,34.83,-,08/08,-,-,"4,500",0,-,-,
퇴계동,8**,충혼길,다가구,18,-,08/02,-,-,"3,000",0,-,-,
