법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
효자동,6**,서부대성로,다가구,50,-,08/30,-,-,"5,500",0,-,-,
효자동,1**,백령로147번길,다가구,62.7,-,08/28,-,-,"5,000",0,-,-,
효자동,1**,백령로25번길,다가구,90,-,08/28,-,-,"6,000",0,-,-,
효자동,1**,효자로124번길,단독,33,-,08/27,-,-,100,12,-,-,
효자동,4**,명주길,다가구,26,-,08/25,-,-,"3,000",0,-,-,
효자동,7**,,단독,20,-,08/25,-,-,"2,000",0,-,-,
효자동,1**,효자로102번길,다가구,30.43,-,08/25,-,-,300,36,-,-,
효자동,3**,공지로242번길,다가구,33,-,08/21,-,-,100,35,-,-,
효자동,1**,서부대성로173번길,단독,81.27,-,08/20,-,-,"4,000",0,-,-,
효자동,6**,춘천로64번길,단독,87.85,-,08/18,-,-,"6,000",0,-,-,
효자동,1**,효제길23번길,다가구,30,-,08/18,-,-,"3,000",0,-,-,
효자동,6**,효자문길,단독,45,-,08/17,-,-,"3,000",0,-,-,
효자동,1**,효자로,다가구,31.42,-,08/17,-,-,300,35,-,-,
효자동,4*,서부대성로205번길,다가구,49.92,-,08/17,-,-,"5,500",0,-,-,
효자동,7**,남춘로51번길,다가구,95.47,-,08/15,-,-,"6,000",0,-,-,
효자동,1*,으뜸길4번길,다가구,75.18,-,08/13,-,-,"2,500",0,-,-,
효자동,1**,도화길,단독,94.49,-,08/13,-,-,"7,000",0,-,-,
효자동,5**,춘천로64번길,다가구,39,-,08/12,-,-,500,25,-,-,
효자동,6**,서부대성로227번길,다가구,16,-,08/11,-,-,0,24,-,-,
효자동,7**,성심로47번길,다가구,23.1,-,08/11,-,-,"3,000",0,-,-,
효자동,1**,서부대성로173번길,단독,100,-,08/10,-,-,"4,000",12,-,-,
효자동,4**,효명길,다가구,99,-,08/09,-,-,"10,000",10,-,-,
효자동,6**,서부대성로,다가구,20,-,08/09,-,-,"1,000",0,-,-,
효자동,1**,돌담길,다가구,33,-,08/09,-,-,300,28,-,-,
효자동,6**,효자로,단독,64.88,-,08/07,-,-,"6,000",0,-,-,
효자동,1**,백령로23번길,다가구,28,-,08/06,-,-,300,32,-,-,
효자동,6**,닥나무길9번길,다가구,26.44,-,08/05,-,-,"3,500",0,-,-,
효자동,6**,춘천로204번길,다가구,33.04,-,08/05,-,-,"4,500",0,-,-,
