법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
효자동,1**,백령로25번길,단독,30,-,01/31,-,-,"4,500",0,-,-,
효자동,7**,성심로,다가구,33,-,01/31,-,-,"5,000",0,-,-,
효자동,1**,백령로67번길,다가구,26.4,-,01/31,-,-,300,38,-,-,
효자동,1**,효평길20번길,단독,61.77,-,01/31,-,-,"5,000",0,-,-,
효자동,5**,춘천로64번길,단독,50,-,01/31,-,-,500,50,-,-,
효자동,3**,,다가구,28.6,-,01/31,-,-,"8,000",0,-,-,
효자동,3**,공지로264번길,다가구,23.14,-,01/30,-,-,"3,000",0,-,-,
효자동,7**,백령로115번길,다가구,33,-,01/30,-,-,300,42,-,-,
효자동,1**,백령로67번길,다가구,23,-,01/30,-,-,"4,000",0,-,-,
효자동,4**,소전길20번길,단독,40,-,01/30,-,-,"6,000",0,-,-,
효자동,6**,서부대성로227번길,다가구,24,-,01/30,-,-,"4,000",0,-,-,
효자동,1**,백령로23번길,다가구,22.93,-,01/30,-,-,"4,500",0,-,-,
효자동,1**,공지로264번길,다가구,33,-,01/30,-,-,"4,000",0,-,-,
효자동,1*,백령로165번길,단독,19.8,-,01/30,-,-,100,26,-,-,
효자동,1**,효자로92번길,단독,30,-,01/30,-,-,"4,000",0,-,-,
효자동,1**,효자로92번길,다가구,30,-,01/30,-,-,"4,000",0,-,-,
효자동,1**,백령로67번길,다가구,24,-,01/30,-,-,"4,500",0,-,-,
효자동,1**,공지로264번길,다가구,33,-,01/30,-,-,"4,000",0,-,-,
효자동,3**,,다가구,33,-,01/29,-,-,"8,000",0,-,-,
효자동,3**,청운길,다가구,42,-,01/29,-,-,"2,000",32,-,-,
효자동,1*,백령로165번길,단독,39,-,01/29,-,-,500,50,-,-,
효자동,1**,효제길23번길,다가구,30,-,01/29,-,-,"4,000",0,-,-,
효자동,1**,,다가구,26.5,-,01/29,-,-,"2,500",0,-,-,
효자동,7**,남춘로51번길,다가구,50,-,01/29,-,-,"5,500",0,-,-,
효자동,1**,효제길23번길,다가구,30,-,01/29,-,-,"4,000",0,-,-,
효자동,6**,춘천로204번길,다가구,33,-,01/28,-,-,"5,500",0,-,-,
효자동,1*,백령로151번길,다가구,49.59,-,01/28,-,-,500,53,-,-,
효자동,4**,,단독,95,-,01/28,-,-,"13,000",0,-,-,
효자동,1**,법원뒷길,다가구,24.2,-,01/28,-,-,"3,000",0,-,-,
효자동,1**,백령로25번길,다가구,18,-,01/28,-,-,"3,000",0,-,-,
효자동,4**,효명길,단독,86.7,-,01/28,-,-,500,25,-,-,
효자동,*,,다가구,19,-,01/27,-,-,"5,500",0,-,-,
효자동,1**,백령로67번길,다가구,23,-,01/27,-,-,"4,000",0,-,-,
효자동,6**,춘천로68번길,다가구,40,-,01/27,-,-,300,37,-,-,
효자동,6**,서부대성로227번길,단독,43.8,-,01/26,-,-,"3,500",0,-,-,
효자동,1**,백령로25번길,다가구,30,-,01/26,-,-,"2,500",0,-,-,
효자동,1**,백령로25번길,다가구,30,-,01/26,-,-,"2,500",0,-,-,
효자동,1**,백령로23번길,다가구,19,-,01/26,-,-,300,35,-,-,
효자동,1**,효제길,다가구,24,-,01/26,-,-,"3,500",0,-,-,
효자동,1**,효자로102번길,다가구,29.7,-,01/25,-,-,"6,000",0,-,-,
효자동,7**,백령로,다가구,16,-,01/25,-,-,"4,000",0,-,-,
효자동,7**,백령로,다가구,16,-,01/25,-,-,"4,000",0,-,-,
효자동,1**,백령로25번길,다가구,30,-,01/25,-,-,"2,500",0,-,-,
효자동,1**,,다가구,25.6,-,01/25,-,-,"4,500",0,-,-,
효자동,3**,공지로252번길,다가구,19,-,01/25,-,-,"6,000",0,-,-,
효자동,7**,백령로119번길,다가구,49.58,-,01/24,-,-,300,40,-,-,
