법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
퇴계동,8**,공원1길,다가구,105.07,-,05/30,-,-,300,35,-,-,
퇴계동,1***,,다가구,33.05,-,05/30,-,-,"7,000",0,-,-,
퇴계동,8**,충혼길5번길,다가구,55.26,-,05/29,-,-,"5,000",0,-,-,
퇴계동,8**,춘주로193번길,단독,72.6,-,05/28,-,-,"6,000",0,-,-,
퇴계동,9**,,다가구,56.5,-,05/25,-,-,"5,900",0,-,-,
퇴계동,9**,퇴계로145번길,다가구,108.76,-,05/24,-,-,"13,000",0,-,-,
퇴계동,1***,퇴계로,다가구,46.8,-,05/18,-,-,500,47,-,-,
퇴계동,1**,김유정로,다가구,33.05,-,05/18,-,-,"6,000",0,-,-,
퇴계동,9**,춘주로,단독,40,-,05/15,-,-,"5,000",0,-,-,
퇴계동,1***,남춘로5번길,다가구,35,-,05/14,-,-,"3,000",24,-,-,
퇴계동,6**,충혼길4번길,다가구,26.44,-,05/14,-,-,"6,500",0,-,-,
퇴계동,4**,미나리길11번길,단독,64.25,-,05/12,-,-,"6,500",0,-,-,
퇴계동,5**,행촌로,다가구,49,-,05/11,-,-,"10,000",0,-,-,
퇴계동,3**,남춘로25번길,단독,24,-,05/11,-,-,"5,000",0,-,-,
퇴계동,8**,공원2길,단독,49.5,-,05/10,-,-,"3,000",0,-,-,
퇴계동,9**,춘주로147번길,다가구,60,-,05/09,-,-,500,35,-,-,
퇴계동,1***,남춘천길5번길,다가구,35,-,05/08,-,-,700,36,-,-,
퇴계동,5**,행촌로,다가구,49,-,05/03,-,-,"10,000",0,-,-,
