법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
석사동,9**,,다가구,25,-,03/31,-,-,"4,500",0,-,-,
석사동,7**,효석로77번길,다가구,109.08,-,03/29,-,-,"10,000",0,-,-,
석사동,9**,스무숲1길,다가구,25,-,03/26,-,-,"4,000",0,-,-,
석사동,6**,석사길5번길,다가구,104.15,-,03/26,-,-,"12,500",5,-,-,
석사동,4**,공지로,단독,117.23,-,03/25,-,-,"18,000",0,-,-,
석사동,7**,후석로45번길,단독,66,-,03/24,-,-,500,30,-,-,
석사동,9**,,다가구,25,-,03/22,-,-,"4,000",0,-,-,
석사동,7**,후석로45번길,다가구,75.96,-,03/21,-,-,500,45,-,-,
석사동,6**,석사길5번길,다가구,41.49,-,03/18,-,-,"6,500",0,-,-,
석사동,6**,석사길5번길,다가구,41.49,-,03/18,-,-,"6,500",0,-,-,
석사동,6**,석사길5번길,단독,40,-,03/15,-,-,300,25,-,-,
석사동,7**,,단독,108.36,-,03/13,-,-,"2,000",50,-,-,
석사동,3**,후석로66번길,단독,27,-,03/12,-,-,"5,000",0,-,-,
석사동,6**,효석로135번길,단독,19.04,-,03/12,-,-,"4,000",0,-,-,
석사동,7**,애막골길20번길,다가구,23,-,03/11,-,-,"2,500",0,-,-,
석사동,9**,스무숲1길,다가구,24,-,03/09,-,-,"3,000",0,-,-,
석사동,9**,스무숲1길,다가구,23,-,03/09,-,-,"4,000",0,-,-,
석사동,9**,안마산로,다가구,25,-,03/06,-,-,300,29,-,-,
석사동,8**,새롬공원길4번길,다가구,48,-,03/04,-,-,"8,500",0,-,-,
석사동,6**,석사길5번길,단독,106.65,-,03/04,-,-,"2,500",7,-,-,
석사동,3**,외솔길,단독,23.84,-,03/02,-,-,500,28,-,-,
석사동,8**,새롬공원길5번길,단독,25,-,03/01,-,-,"4,000",0,-,-,
