법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
후평동,7**,만천로195번길,다가구,47,-,04/30,-,-,"7,500",0,-,-,
후평동,6**,효평길,다가구,15,-,04/30,-,-,50,18,-,-,
후평동,6**,효평길,다가구,28,-,04/29,-,-,300,45,-,-,
후평동,5**,후석로441번길,다가구,57.6,-,04/28,-,-,"8,000",0,-,-,
후평동,9*,,단독,62.7,-,04/28,-,-,"8,000",0,-,-,
후평동,5**,성심로35번길,단독,47.88,-,04/28,-,-,"2,500",0,-,-,
후평동,7**,춘천로309번길,단독,42.59,-,04/28,-,-,"5,000",0,-,-,
후평동,9*,수풍골길13번길,단독,62.7,-,04/28,-,-,"3,000",0,-,-,
후평동,2**,뒷들길,단독,26,-,04/27,-,-,"1,800",0,-,-,
후평동,4**,춘천로270번길,다가구,23,-,04/25,-,-,200,10,-,-,
후평동,2**,춘천로407번길,단독,46,-,04/24,-,-,"5,000",0,-,-,
후평동,7**,후석로370번길,단독,43,-,04/24,-,-,"10,000",0,-,-,
후평동,8**,후석로393번길,단독,54.18,-,04/24,-,-,"4,000",0,-,-,
후평동,2**,춘천로407번길,단독,46,-,04/24,-,-,"5,000",0,-,-,
후평동,8**,삭주로128번길,단독,77.73,-,04/23,-,-,700,40,-,-,
후평동,6**,춘천로310번길,다가구,28.71,-,04/23,-,-,"3,000",4,-,-,
후평동,8**,후만로116번길,단독,63.87,-,04/22,-,-,"8,500",5,-,-,
후평동,1**,뒷들길,다가구,26,-,04/22,-,-,200,30,-,-,
후평동,7**,삭주로193번길,다가구,11,-,04/22,-,-,200,27,-,-,
후평동,8**,세실로192번길,단독,39,-,04/21,-,-,500,30,-,-,
후평동,6**,춘천로296번길,단독,40.59,-,04/20,-,-,"5,000",0,-,-,
후평동,6**,효평길,다가구,25,-,04/20,-,-,300,38,-,-,
후평동,8**,부평길,다가구,51.12,-,04/19,-,-,500,40,-,-,
후평동,6**,춘천로310번길,다가구,28.71,-,04/19,-,-,200,30,-,-,
후평동,7**,만천로205번길,다가구,45,-,04/18,-,-,"8,000",0,-,-,
후평동,9*,,단독,63.46,-,04/17,-,-,"9,000",0,-,-,
후평동,8**,삭주로108번길,단독,25,-,04/17,-,-,300,40,-,-,
후평동,5**,후석로441번길,다가구,79.47,-,04/17,-,-,"13,000",0,-,-,
후평동,1**,춘천로423번길,단독,16.5,-,04/16,-,-,100,20,-,-,
후평동,1**,,다가구,50,-,04/15,-,-,500,55,-,-,
후평동,6**,성심로47번길,다가구,29,-,04/14,-,-,"8,000",0,-,-,
후평동,7**,후석로369번길,다가구,110,-,04/14,-,-,"15,000",0,-,-,
후평동,8**,복골길,단독,63.42,-,04/13,-,-,500,40,-,-,
후평동,4**,춘천로296번길,단독,73.05,-,04/13,-,-,"13,000",0,-,-,
후평동,7**,만천로215번길,단독,61.47,-,04/13,-,-,"6,000",0,-,-,
후평동,6**,효평길,단독,78.96,-,04/12,-,-,"8,000",0,-,-,
후평동,2**,공단로60번길,다가구,55.23,-,04/12,-,-,"11,000",0,-,-,
후평동,8**,후석로250번길,다가구,60,-,04/10,-,-,"1,000",56,-,-,
후평동,8**,후만로98번길,다가구,100.94,-,04/07,-,-,"5,000",0,-,-,
후평동,4**,으뜸길4번길,다가구,28,-,04/06,-,-,500,38,-,-,
후평동,8**,후석로,다가구,120.88,-,04/05,-,-,"1,000",50,-,-,
후평동,8**,부평길8번길,다가구,50,-,04/05,-,-,"4,000",0,-,-,
후평동,5**,춘천로295번길,단독,78.09,-,04/05,-,-,"1,000",30,-,-,
후평동,6**,춘천로270번길,다가구,29.7,-,04/02,-,-,"5,700",0,-,-,
