법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
후평동,6**,춘천로282번길,단독,10,-,06/30,-,-,100,23,-,-,
후평동,7**,보안길,다가구,26.4,-,06/29,-,-,200,26,-,-,
후평동,7**,만천로227번길,다가구,65,-,06/29,-,-,"9,000",0,-,-,
후평동,8**,춘천로269번길,단독,33.8,-,06/27,-,-,"6,000",0,-,-,
후평동,8**,부평길8번길,단독,80.89,-,06/27,-,-,"8,000",0,-,-,
후평동,6**,성심로47번길,다가구,34,-,06/26,-,-,"6,500",0,-,-,
후평동,7**,만천로,단독,30,-,06/25,-,-,300,30,-,-,
후평동,2**,뒷들길,단독,50,-,06/24,-,-,"3,000",0,-,-,
후평동,4**,춘천로270번길,단독,50,-,06/24,-,-,"6,500",0,-,-,
후평동,2**,공단로70번길,단독,45,-,06/22,-,-,"9,000",0,-,-,
후평동,7*,후석로326번길,단독,49.32,-,06/20,-,-,500,40,-,-,
후평동,9*,후석로344번길,다가구,30,-,06/19,-,-,"3,500",0,-,-,
후평동,9*,수풍골길13번길,다가구,18,-,06/18,-,-,"3,000",0,-,-,
후평동,6**,효평길,단독,30,-,06/18,-,-,300,43,-,-,
후평동,8**,복골길14번길,단독,54.37,-,06/17,-,-,300,30,-,-,
후평동,7**,만천로199번길,단독,48,-,06/16,-,-,"7,500",0,-,-,
후평동,7**,성심로47번길,다가구,51,-,06/16,-,-,"6,000",0,-,-,
후평동,8**,세실로192번길,다가구,28,-,06/14,-,-,300,38,-,-,
후평동,6**,성심로47번길,단독,28,-,06/13,-,-,200,35,-,-,
후평동,7**,만천로195번길,단독,50,-,06/12,-,-,"6,000",0,-,-,
후평동,7**,후석로370번길,단독,33,-,06/12,-,-,"4,500",0,-,-,
후평동,7**,보안길,다가구,26,-,06/11,-,-,500,25,-,-,
후평동,6**,춘천로270번길,단독,80.08,-,06/10,-,-,"11,000",0,-,-,
후평동,7**,만천로215번길,단독,74.22,-,06/07,-,-,500,30,-,-,
후평동,8**,대양당길,단독,60,-,06/05,-,-,300,30,-,-,
후평동,7**,,단독,78.66,-,06/04,-,-,"5,000",25,-,-,
후평동,8**,후석로258번길,단독,61.67,-,06/03,-,-,"7,000",0,-,-,
후평동,4**,춘천로296번길,단독,27,-,06/02,-,-,"3,000",20,-,-,
후평동,7**,만천로199번길,단독,36.29,-,06/02,-,-,"4,000",0,-,-,
후평동,7**,만천로199번길,단독,36.29,-,06/02,-,-,"4,000",0,-,-,
후평동,7**,후석로,단독,88.2,-,06/02,-,-,"6,000",10,-,-,
후평동,2**,,단독,45,-,06/01,-,-,"9,000",0,-,-,
