법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
효자동,6**,춘천로204번길,다가구,30,-,05/31,-,-,300,42,-,-,
효자동,4*,두하길25번길,단독,33,-,05/31,-,-,"5,500",0,-,-,
효자동,1**,둥지길47번길,단독,78.31,-,05/31,-,-,"5,400",0,-,-,
효자동,6**,서부대성로173번길,다가구,25,-,05/29,-,-,"3,500",0,-,-,
효자동,7**,남춘로45번길,다가구,52.88,-,05/29,-,-,"8,500",0,-,-,
효자동,6**,효평길,다가구,34,-,05/28,-,-,"5,500",0,-,-,
효자동,1**,효평길20번길,단독,34.34,-,05/26,-,-,"9,500",0,-,-,
효자동,1**,둥지길,다가구,40,-,05/23,-,-,"6,000",0,-,-,
효자동,7**,남춘로55번길,다가구,30,-,05/22,-,-,"4,000",0,-,-,
효자동,6**,서부대성로227번길,단독,19.83,-,05/21,-,-,"1,000",0,-,-,
효자동,2**,,다가구,26.44,-,05/19,-,-,"6,500",0,-,-,
효자동,3**,청운길29번길,다가구,55.76,-,05/19,-,-,500,40,-,-,
효자동,6**,백령로147번길,다가구,30,-,05/19,-,-,300,45,-,-,
효자동,1**,서부대성로184번길,다가구,100,-,05/18,-,-,"12,000",0,-,-,
효자동,6**,효평길,단독,33,-,05/18,-,-,"3,000",0,-,-,
효자동,4*,두하길,다가구,42.97,-,05/18,-,-,500,48,-,-,
효자동,2**,공지로,다가구,37,-,05/18,-,-,"7,000",0,-,-,
효자동,6**,효자로,단독,54.72,-,05/17,-,-,"4,000",0,-,-,
효자동,1**,도화길,다가구,45.27,-,05/16,-,-,"5,000",0,-,-,
효자동,1**,서부대성로184번길,단독,13.2,-,05/16,-,-,30,10,-,-,
효자동,7**,춘천로255번길,다가구,113.36,-,05/16,-,-,"13,000",0,-,-,
효자동,7**,공지로307번길,다가구,29,-,05/16,-,-,"6,500",0,-,-,
효자동,7**,,다가구,50,-,05/15,-,-,"8,500",0,-,-,
효자동,6**,백령로138번길,단독,75.9,-,05/14,-,-,"7,000",0,-,-,
효자동,1**,청운길,다가구,49,-,05/12,-,-,"5,000",0,-,-,
효자동,6**,서부대성로,다가구,50,-,05/11,-,-,"4,000",0,-,-,
효자동,7**,춘천로296번길,단독,34.5,-,05/10,-,-,"5,000",0,-,-,
효자동,1**,효평길20번길,단독,33,-,05/09,-,-,"3,500",0,-,-,
효자동,1**,,다가구,21,-,05/09,-,-,"4,000",0,-,-,
효자동,1**,효자로124번길,단독,88.83,-,05/09,-,-,"1,000",40,-,-,
효자동,7**,서부대성로206번길,다가구,23.35,-,05/08,-,-,100,20,-,-,
효자동,7**,성심로35번길,단독,74.3,-,05/08,-,-,500,50,-,-,
효자동,3**,공지로242번길,다가구,185.74,-,05/08,-,-,"18,000",0,-,-,
효자동,7**,공지로307번길,단독,50,-,05/08,-,-,"9,000",0,-,-,
효자동,2**,,다가구,33,-,05/08,-,-,"6,500",0,-,-,
효자동,2**,,다가구,26.44,-,05/08,-,-,"6,500",0,-,-,
효자동,6**,춘천로186번길,다가구,39,-,05/07,-,-,300,46,-,-,
효자동,7**,춘천로223번길,다가구,20,-,05/01,-,-,"2,700",0,-,-,
효자동,6**,공지로333번길,다가구,111.15,-,05/01,-,-,"15,000",0,-,-,
효자동,6**,서부대성로173번길,다가구,81.01,-,05/01,-,-,"6,000",0,-,-,
