법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
효자동,3**,청운길,다가구,30,-,05/30,-,-,"6,000",0,-,-,
효자동,5**,효자상길,단독,63.68,-,05/25,-,-,"1,500",40,-,-,
효자동,7**,춘천로,다가구,49.5,-,05/25,-,-,"7,000",0,-,-,
효자동,6**,닥나무길9번길,다가구,97.74,-,05/25,-,-,"13,500",0,-,-,
효자동,6**,춘천로204번길,다가구,45,-,05/23,-,-,"7,000",0,-,-,
효자동,1**,,다가구,41,-,05/23,-,-,"3,500",0,-,-,
효자동,6**,춘천로204번길,다가구,33,-,05/21,-,-,"4,000",0,-,-,
효자동,6**,춘천로204번길,다가구,33,-,05/20,-,-,"4,000",0,-,-,
효자동,4**,소전길,단독,74.54,-,05/20,-,-,"4,000",0,-,-,
효자동,7**,성심로,다가구,26,-,05/18,-,-,"6,000",0,-,-,
효자동,1**,효제길23번길,다가구,41.79,-,05/18,-,-,"5,000",0,-,-,
효자동,7**,성심로,다가구,26,-,05/18,-,-,"6,000",0,-,-,
효자동,6**,서부대성로173번길,단독,25,-,05/18,-,-,"3,500",0,-,-,
효자동,4**,효자문길,단독,40,-,05/18,-,-,"5,200",0,-,-,
효자동,1**,두하길25번길,다가구,35.1,-,05/14,-,-,"3,000",0,-,-,
효자동,7**,성심로,다가구,24,-,05/14,-,-,"5,500",0,-,-,
효자동,1**,백령로61번길,단독,39,-,05/09,-,-,"4,000",0,-,-,
효자동,6**,두하길,다가구,35,-,05/08,-,-,"5,000",0,-,-,
효자동,6**,효자로102번길,다가구,33,-,05/06,-,-,300,30,-,-,
효자동,1**,도화길6번길,다가구,50,-,05/06,-,-,"8,000",0,-,-,
효자동,6**,효자로102번길,다가구,33,-,05/05,-,-,"5,000",0,-,-,
효자동,7**,남춘로61번길,단독,49.5,-,05/04,-,-,"3,500",10,-,-,
효자동,6**,공지로317번길,다가구,33,-,05/02,-,-,"3,000",0,-,-,
효자동,1**,도화길,단독,74.38,-,05/02,-,-,500,25,-,-,
