법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
후평동,7**,부안길6번길,단독,88.41,신규,12/31,22.01-24.01,-,500,45,-,-,
후평동,5**,삭주로80번길,다가구,35,신규,12/31,22.01-24.01,-,"7,000",0,-,-,
후평동,6**,효평길,단독,81.32,-,12/30,-,-,"10,000",0,-,-,
후평동,3**,만천로195번길,단독,38.6,신규,12/29,22.01-23.01,-,500,40,-,-,
후평동,8**,후석로379번길,단독,29.8,신규,12/27,22.01-23.01,-,300,45,-,-,
후평동,1**,만천로195번길,다가구,40,신규,12/26,22.01-23.02,-,"1,000",50,-,-,
후평동,7**,만천로,단독,25,신규,12/26,21.12-22.12,-,250,40,-,-,
후평동,7**,만천로245번길,단독,25,신규,12/23,22.01-23.01,-,200,32,-,-,
후평동,7**,만천로195번길,단독,30,신규,12/23,22.01-23.01,-,300,43,-,-,
후평동,1**,공단로70번길,다가구,55.23,신규,12/23,22.01-24.01,-,"10,000",0,-,-,
후평동,6**,삭주로94번길,단독,33,신규,12/22,21.12-22.12,-,300,39,-,-,
후평동,4**,춘천로282번길,단독,35.19,-,12/21,-,-,"5,000",0,-,-,
후평동,4**,춘천로282번길,다가구,25,갱신,12/21,21.12-23.12,-,"7,000",0,"6,500",0,
후평동,7**,삭주로,다가구,48.09,신규,12/21,22.02-24.02,-,"8,000",0,-,-,
후평동,6**,백령로,단독,95.1,-,12/20,21.12-23.12,-,"8,000",0,-,-,
후평동,8**,후석로393번길,단독,85.71,신규,12/20,22.01-24.01,-,"7,500",0,-,-,
후평동,7**,후석로393번길,다가구,56,갱신,12/19,21.12-23.12,-,"8,000",0,"7,500",0,
후평동,7**,,다가구,26,-,12/19,-,-,"8,500",0,-,-,
후평동,7**,후석로390번길,다가구,50,-,12/19,21.12-23.12,-,"8,500",0,-,-,
후평동,7**,만천로239번길,단독,26,신규,12/19,22.01-24.01,-,"8,500",0,-,-,
후평동,7**,만천로199번길,단독,47,신규,12/18,22.01-24.01,-,"1,000",45,-,-,
후평동,5**,후석로441번길,다가구,49.95,갱신,12/18,22.01-24.01,-,"10,000",0,"7,500",0,
후평동,7**,만천로195번길,단독,45,신규,12/18,22.01-23.12,-,"8,500",0,-,-,
후평동,7**,만천로195번길,다가구,33.4,-,12/18,-,-,"5,500",0,-,-,
후평동,7**,,단독,45,-,12/18,-,-,"8,500",0,-,-,
후평동,7**,만천로227번길,다가구,40,신규,12/17,22.01-23.01,-,300,40,-,-,
후평동,7**,만천로199번길,단독,49.23,신규,12/17,21.12-23.12,-,300,35,-,-,
후평동,8**,삭주로108번길,단독,45,신규,12/17,22.02-23.02,-,500,60,-,-,
후평동,7**,만천로205번길,다가구,43,신규,12/16,22.01-26.01,-,"10,000",0,-,-,
후평동,7**,,다가구,43,-,12/16,-,-,"10,000",0,-,-,
후평동,7**,삭주로128번길,다가구,20,-,12/16,-,-,100,18,-,-,
후평동,7**,만천로205번길,다가구,43,신규,12/16,22.01-24.01,-,"10,000",0,-,-,
후평동,8**,복골길14번길,단독,58.5,신규,12/16,21.12-23.12,-,200,37,-,-,
후평동,6**,효평길,단독,28,신규,12/15,21.12-22.12,-,300,38,-,-,
후평동,7**,삭주로128번길,다가구,32.8,-,12/15,-,-,"4,000",0,-,-,
후평동,7**,만천로195번길,단독,28,신규,12/15,22.01-23.01,-,300,38,-,-,
후평동,6**,춘천로,단독,49.71,신규,12/14,22.01-24.01,-,"11,000",0,-,-,
후평동,8**,춘천로269번길,다가구,30,신규,12/13,22.01-24.01,-,"7,500",0,-,-,
후평동,8**,후석로379번길,단독,24,신규,12/13,21.12-22.12,-,500,40,-,-,
후평동,7**,춘천로309번길,단독,75.48,신규,12/13,21.12-23.12,-,500,40,-,-,
후평동,7**,후석로,다가구,21,신규,12/12,21.12-22.12,-,100,25,-,-,
후평동,4**,으뜸길4번길,단독,57.72,신규,12/11,21.12-23.12,-,"8,000",0,-,-,
후평동,4**,부평길,단독,26.4,-,12/11,-,-,"5,000",0,-,-,
후평동,5**,후석로441번길,다가구,28,-,12/11,-,-,200,30,-,-,
