법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
후평동,8**,후석로250번길,단독,56.52,-,11/30,-,-,"6,000",0,-,-,
후평동,6**,춘천로270번길,단독,67.33,-,11/30,-,-,"10,000",0,-,-,
후평동,7**,만천로,단독,94.14,-,11/28,-,-,"2,000",50,-,-,
후평동,8**,삭주로108번길,다가구,67.05,-,11/27,-,-,"5,000",0,-,-,
후평동,5**,,단독,26.44,-,11/27,-,-,"6,000",0,-,-,
후평동,5**,삭주로80번길,다가구,60.5,-,11/25,-,-,"3,500",0,-,-,
후평동,1**,뒷들길,다가구,33,-,11/25,-,-,"2,500",0,-,-,
후평동,7**,성심로47번길,단독,36.5,-,11/23,-,-,"5,500",0,-,-,
후평동,7**,보안길,단독,40,-,11/23,-,-,"3,000",0,-,-,
후평동,7**,후석로393번길,단독,60,-,11/23,-,-,"6,500",0,-,-,
후평동,7**,만천로227번길,단독,66.1,-,11/23,-,-,"1,000",45,-,-,
후평동,1**,뒷들길,다가구,33,-,11/21,-,-,"2,500",0,-,-,
후평동,7**,만천로227번길,단독,33,-,11/20,-,-,"2,500",0,-,-,
후평동,1**,뒷들길,다가구,33,-,11/18,-,-,"2,000",0,-,-,
후평동,7**,삭주로205번길,단독,75.27,-,11/17,-,-,500,30,-,-,
후평동,5**,삭주로128번길,단독,59.09,-,11/13,-,-,300,35,-,-,
후평동,6**,춘천로309번길,단독,67.28,-,11/12,-,-,"6,500",0,-,-,
후평동,7**,만천로233번길,단독,128.77,-,11/10,-,-,"1,000",50,-,-,
후평동,7**,후석로369번길,단독,50,-,11/09,-,-,"5,500",0,-,-,
후평동,8**,후석로250번길,undefined,60,-,11/08,-,-,"9,000",0,-,-,
후평동,5**,춘천로269번길,단독,104.53,-,11/07,-,-,"5,000",0,-,-,
후평동,7**,만천로195번길,단독,49,-,11/06,-,-,"3,500",30,-,-,
후평동,5**,,단독,33.05,-,11/06,-,-,"6,500",0,-,-,
후평동,6**,성심로47번길,단독,23.1,-,11/06,-,-,"1,500",7,-,-,
후평동,8**,삭주로108번길,단독,57.88,-,11/05,-,-,"1,000",30,-,-,
후평동,6**,성심로47번길,단독,69.5,-,11/05,-,-,500,35,-,-,
후평동,4**,후석로326번길,단독,60,-,11/05,-,-,"5,000",0,-,-,
후평동,8**,대양당길,단독,30,-,11/03,-,-,"2,000",0,-,-,
후평동,7**,후석로369번길,단독,33,-,11/02,-,-,300,39,-,-,
후평동,5**,성심로47번길,단독,85.95,-,11/02,-,-,"4,000",20,-,-,
