법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
후평동,8**,복골길,단독,63.6,-,08/31,-,-,"4,000",0,-,-,
후평동,7**,삭주로128번길,다가구,23.1,-,08/30,-,-,100,26,-,-,
후평동,5**,후석로441번길,다가구,27,-,08/29,-,-,"4,000",0,-,-,
후평동,7**,만천로199번길,단독,33,-,08/23,-,-,300,40,-,-,
후평동,5**,후석로455번길,단독,43,-,08/21,-,-,200,20,-,-,
후평동,8**,후석로258번길,단독,51.66,-,08/21,-,-,"1,000",30,-,-,
후평동,5**,성심로47번길,단독,55.62,-,08/21,-,-,500,30,-,-,
후평동,8**,복골길,단독,91.5,-,08/20,-,-,"7,500",0,-,-,
후평동,1**,세실로317번길,단독,66.6,-,08/19,-,-,"5,000",0,-,-,
후평동,8**,삭주로108번길,단독,67.59,-,08/18,-,-,500,40,-,-,
후평동,9*,후석로344번길,단독,58.21,-,08/18,-,-,500,50,-,-,
후평동,7*,,단독,84.9,-,08/17,-,-,"7,000",0,-,-,
후평동,8**,부평길,다가구,40.95,-,08/17,-,-,"5,500",0,-,-,
후평동,9*,후석로344번길,단독,33,-,08/14,-,-,"4,000",0,-,-,
후평동,3**,,단독,50,-,08/10,-,-,500,53,-,-,
후평동,9*,후석로344번길,단독,59,-,08/10,-,-,300,30,-,-,
후평동,6**,성심로35번길,단독,45,-,08/05,-,-,300,40,-,-,
후평동,5**,후석로441번길,다가구,27,-,08/04,-,-,"4,000",0,-,-,
