법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
석사동,8**,새롬공원길5번길,단독,122.94,-,04/30,-,-,"1,000",60,-,-,
석사동,3**,외솔길,다가구,33,-,04/30,-,-,"3,300",0,-,-,
석사동,7**,벌말길47번길,다가구,60.8,-,04/30,-,-,"2,500",10,-,-,
석사동,6**,석사길5번길,다가구,59.42,-,04/30,-,-,"4,000",0,-,-,
석사동,6**,후석로59번길,다가구,56.1,-,04/30,-,-,"1,000",17,-,-,
석사동,9**,스무숲1길,다가구,28,-,04/29,-,-,500,35,-,-,
석사동,9**,안마산로,다가구,46.28,-,04/27,-,-,"4,500",0,-,-,
석사동,6**,효석로135번길,다가구,42.33,-,04/26,-,-,500,30,-,-,
석사동,3**,후석로66번길,다가구,62.92,-,04/25,-,-,"5,000",0,-,-,
석사동,6**,효석로135번길,다가구,47.66,-,04/24,-,-,500,30,-,-,
석사동,7**,벌말길,다가구,16,-,04/23,-,-,"2,000",0,-,-,
석사동,9**,스무숲4길,다가구,33,-,04/21,-,-,"2,000",5,-,-,
석사동,3**,후석로66번길,다가구,29.7,-,04/21,-,-,"2,300",0,-,-,
석사동,9**,스무숲3길,다가구,30,-,04/20,-,-,"2,800",0,-,-,
석사동,7**,애막골길11번길,다가구,79,-,04/19,-,-,300,40,-,-,
석사동,2**,외솔길,다가구,29.7,-,04/19,-,-,"2,300",0,-,-,
석사동,8**,새롬공원길5번길,다가구,66,-,04/19,-,-,"7,000",0,-,-,
석사동,9**,스무숲1길,다가구,30,-,04/19,-,-,200,25,-,-,
석사동,9**,스무숲1길,다가구,33.06,-,04/18,-,-,"1,000",35,-,-,
석사동,6**,석사길5번길,다가구,59.4,-,04/18,-,-,300,30,-,-,
석사동,6**,석사길5번길,다가구,48.6,-,04/18,-,-,"4,000",0,-,-,
석사동,9**,스무숲3길,단독,143,-,04/17,-,-,"2,000",60,-,-,
석사동,7**,벌말길,다가구,63.27,-,04/17,-,-,500,35,-,-,
석사동,7**,우석로4번길,다가구,33,-,04/14,-,-,300,30,-,-,
석사동,7**,애막골길20번길,다가구,87,-,04/14,-,-,"6,500",0,-,-,
석사동,9**,스무숲4길,다가구,33.3,-,04/12,-,-,"3,000",0,-,-,
석사동,8**,새롬공원길9번길,다가구,60.67,-,04/12,-,-,"5,000",0,-,-,
석사동,9**,안마산로,다가구,49,-,04/11,-,-,"4,500",0,-,-,
석사동,9**,스무숲1길,다가구,33,-,04/11,-,-,"3,000",0,-,-,
석사동,8**,새롬공원길5번길,단독,136.44,-,04/07,-,-,"9,000",0,-,-,
석사동,8**,새롬공원길9번길,다가구,30,-,04/07,-,-,300,30,-,-,
석사동,7**,,단독,49.5,-,04/07,-,-,"4,500",0,-,-,
석사동,4**,후석로66번길,단독,13.2,-,04/05,-,-,0,13,-,-,
석사동,7**,벌말길47번길,다가구,99,-,04/04,-,-,"6,500",0,-,-,
석사동,7**,벌말길,다가구,80,-,04/03,-,-,"6,000",0,-,-,
석사동,7**,우석로38번길,다가구,23,-,04/03,-,-,100,25,-,-,
석사동,9**,스무숲1길,다가구,26.4,-,04/02,-,-,300,26,-,-,
석사동,9**,스무숲1길,다가구,22,-,04/01,-,-,"3,500",0,-,-,
