법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
퇴계동,9**,행촌로32번길,단독,28,신규,11/30,23.11-24.11,-,300,39,-,-,
퇴계동,8**,백석골길22번길,단독,48,-,11/29,23.12-25.12,-,"7,000",0,-,-,
퇴계동,8**,백석골길22번길,단독,48,신규,11/29,23.12-25.12,-,"7,000",0,-,-,
퇴계동,1***,퇴계로93번길,단독,25,신규,11/25,23.12-24.12,-,"1,000",32,-,-,
퇴계동,9**,퇴계로,다가구,66,-,11/25,-,-,"1,000",30,-,-,
퇴계동,1***,효자로14번길,다가구,50,신규,11/25,23.11-24.11,-,500,50,-,-,
퇴계동,1***,남춘천길5번길,다가구,25,-,11/25,-,-,200,29,-,-,
퇴계동,1***,퇴계로93번길,단독,25,신규,11/24,23.11-24.11,-,"1,000",32,-,-,
퇴계동,4**,미나리길,단독,30,신규,11/24,23.12-24.12,-,500,50,-,-,
퇴계동,8**,충혼길8번길,다가구,29,-,11/24,-,-,300,30,-,-,
퇴계동,1***,남춘천새길,단독,30,신규,11/24,23.11-24.11,-,300,35,-,-,
퇴계동,8**,공원2길,다가구,26,신규,11/23,23.11-24.11,-,300,37,-,-,
퇴계동,9**,퇴계로,다가구,30,-,11/23,-,-,300,25,-,-,
퇴계동,9**,춘주로201번길,다가구,25,신규,11/22,23.11-24.11,-,300,31,-,-,
퇴계동,1**,김유정로,단독,25,-,11/21,-,-,"6,000",0,-,-,
퇴계동,9**,행촌로32번길,다가구,117.6,-,11/21,-,-,"1,000",30,-,-,
퇴계동,1***,효자로24번길,다가구,28,-,11/21,-,-,300,45,-,-,
퇴계동,1**,김유정로,다가구,33,신규,11/20,23.12-25.12,-,"8,000",0,-,-,
퇴계동,8**,충혼길,다가구,62,-,11/20,-,-,"1,500",30,-,-,
퇴계동,4**,국사봉길,단독,30,신규,11/19,23.12-24.12,-,300,48,-,-,
퇴계동,1***,남춘천길,다가구,28,신규,11/18,23.11-24.11,-,300,45,-,-,
퇴계동,1***,효자로14번길,다가구,28,신규,11/16,23.11-24.11,-,300,48,-,-,
퇴계동,9*,윗무린개길,단독,23,신규,11/16,23.12-25.12,-,"7,000",0,-,-,
퇴계동,1***,우묵길70번길,다가구,26,신규,11/14,23.12-24.12,-,300,42,-,-,
퇴계동,1**,김유정로,단독,27,신규,11/13,23.11-25.11,-,"8,000",0,-,-,
퇴계동,1***,승지골길13번길,다가구,26,신규,11/11,23.11-24.11,-,300,35,-,-,
퇴계동,8**,공원2길,다가구,48.14,신규,11/11,24.01-26.01,-,500,35,-,-,
퇴계동,3**,퇴계로93번길,단독,28,신규,11/11,23.11-24.11,-,300,38,-,-,
퇴계동,9**,퇴계로145번길,단독,27,-,11/10,-,-,300,30,-,-,
퇴계동,4**,솟발1길,다가구,30,신규,11/10,23.11-25.11,-,"8,000",0,-,-,
퇴계동,1***,퇴계로,다가구,47.22,신규,11/08,23.12-25.12,-,500,50,-,-,
퇴계동,8**,충혼길18번길,다가구,33,신규,11/08,23.11-24.11,-,300,36,-,-,
퇴계동,1***,퇴계로,다가구,50,신규,11/07,23.12-25.12,-,500,55,-,-,
퇴계동,8**,춘주로187번길,단독,55,신규,11/07,23.12-25.12,-,500,35,-,-,
퇴계동,1***,우묵길78번길,다가구,40.67,신규,11/06,23.12-25.12,-,"10,000",0,-,-,
퇴계동,8**,충혼길18번길,단독,31.5,신규,11/06,23.11-24.11,-,300,39,-,-,
퇴계동,3**,퇴계로77번길,단독,50,신규,11/05,23.11-25.11,-,500,60,-,-,
퇴계동,8**,공원2길,단독,50,-,11/05,-,-,"5,000",0,-,-,
퇴계동,8**,충혼길8번길,다가구,33.3,신규,11/04,23.11-25.11,-,50,28,-,-,
퇴계동,8**,공원3길,다가구,55,신규,11/03,23.12-25.12,-,500,37,-,-,
퇴계동,1***,남춘로36번길,단독,30,-,11/02,-,-,300,30,-,-,
퇴계동,1***,남춘천길,다가구,35.15,신규,11/01,23.11-24.10,-,0,55,-,-,
