법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
석사동,6**,벌말길,단독,86.72,신규,06/30,22.07-23.07,-,500,50,-,-,
석사동,6**,벌말길,단독,50,신규,06/30,22.07-23.07,-,300,35,-,-,
석사동,9**,스무숲1길,다가구,25,-,06/29,-,-,"5,900",0,-,-,
석사동,8**,새롬공원길9번길,다가구,13.26,-,06/28,-,-,"4,500",0,-,-,
석사동,6**,후석로59번길,다가구,56,신규,06/28,22.06-24.06,-,300,35,-,-,
석사동,7**,애막골길16번길,다가구,62.4,신규,06/28,22.07-24.07,-,500,40,-,-,
석사동,6**,벌말길,단독,33,-,06/25,-,-,200,20,-,-,
석사동,9**,스무숲1길,단독,45,신규,06/24,22.07-23.07,-,300,40,-,-,
석사동,7**,,단독,30,-,06/24,-,-,200,27,-,-,
석사동,7**,우석로,단독,31,신규,06/20,22.07-24.07,-,"1,000",45,-,-,
석사동,7**,우석로,다가구,31,신규,06/20,22.07-24.07,-,"1,000",45,-,-,
석사동,8**,새롬공원길5번길,단독,30,-,06/20,-,-,300,25,-,-,
석사동,6**,효석로89번길,다가구,37.84,-,06/19,-,-,300,28,-,-,
석사동,7**,벌말길,다가구,43,-,06/18,-,-,300,27,-,-,
석사동,6**,석사길5번길,다가구,24,-,06/18,-,-,200,24,-,-,
석사동,7**,애막골길20번길,단독,22,-,06/17,-,-,"3,000",0,-,-,
석사동,7**,우석로63번길,단독,26,신규,06/17,22.07-23.02,-,200,33,-,-,
석사동,7**,우석로38번길,단독,30,-,06/16,-,-,"3,500",0,-,-,
석사동,7**,우석로63번길,단독,26,신규,06/16,22.06-23.06,-,200,33,-,-,
석사동,7**,애막골길3번길,단독,76,신규,06/15,22.07-23.07,-,500,55,-,-,
석사동,9**,스무숲1길,다가구,25,-,06/14,-,-,"4,000",0,-,-,
석사동,4**,석사길5번길,단독,60,신규,06/14,22.07-24.07,-,500,40,-,-,
석사동,7**,벌말길47번길,다가구,50,신규,06/12,22.06-24.06,-,"9,500",0,-,-,
석사동,7**,효석로,다가구,24.34,신규,06/11,22.06-23.06,-,500,50,-,-,
석사동,9**,스무숲1길,단독,26,신규,06/10,22.06-22.11,-,200,38,-,-,
석사동,6**,효석로135번길,다가구,84.78,신규,06/10,22.06-24.06,-,"2,000",70,-,-,
석사동,8**,새롬공원길5번길,다가구,59,신규,06/10,22.06-24.06,-,500,40,-,-,
석사동,7**,우석로4번길,다가구,28,-,06/09,-,-,200,23,-,-,
석사동,3**,,다가구,33,-,06/09,-,-,200,30,-,-,
석사동,9**,스무숲1길,단독,30,신규,06/07,22.06-23.06,-,200,35,-,-,
석사동,6**,효석로89번길,다가구,42,-,06/07,-,-,"1,000",26,-,-,
석사동,8**,,다가구,45,-,06/07,-,-,"8,000",0,-,-,
석사동,9**,,단독,30,-,06/07,-,-,200,36,-,-,
석사동,8**,새롬공원길5번길,단독,23,-,06/06,-,-,300,30,-,-,
석사동,7**,애막골길11번길,다가구,27,-,06/06,-,-,"4,500",0,-,-,
석사동,7**,효석로89번길,단독,80.28,신규,06/04,22.06-24.06,-,500,45,-,-,
석사동,7**,애막골길3번길,다가구,26.4,-,06/03,-,-,"3,500",0,-,-,
석사동,7**,우석로,단독,115.24,신규,06/03,22.06-24.06,-,"1,000",70,-,-,
석사동,7**,효석로77번길,다가구,75.87,신규,06/03,22.06-24.06,-,"1,000",50,-,-,
석사동,8**,새롬공원길5번길,다가구,26,신규,06/01,22.06-22.12,-,200,35,-,-,
석사동,7**,벌말길47번길,다가구,43.29,신규,06/01,22.06-23.06,-,500,48,-,-,
