법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
퇴계동,1***,효자로,단독,38.04,신규,01/30,24.02-25.02,-,"1,000",63,-,-,
퇴계동,8**,공원2길,다가구,26,신규,01/30,24.01-25.01,-,300,37,-,-,
퇴계동,1***,남춘천길5번길,다가구,28,-,01/30,-,-,"7,000",0,-,-,
퇴계동,1***,남춘천길5번길,다가구,48.12,신규,01/30,24.02-25.02,-,"1,000",65,-,-,
퇴계동,1***,남춘천길,단독,30,신규,01/27,24.02-25.02,-,300,42,-,-,
퇴계동,1***,우묵길52번길,단독,28,신규,01/27,24.02-25.02,-,"1,000",50,-,-,
퇴계동,8**,춘주로195번길,단독,33,-,01/25,-,-,300,30,-,-,
퇴계동,1**,김유정로,단독,26,-,01/24,-,-,300,40,-,-,
퇴계동,1***,,다가구,50,-,01/20,-,-,500,50,-,-,
퇴계동,9**,퇴계로145번길,다가구,105.9,신규,01/19,24.01-26.01,-,"13,000",0,-,-,
퇴계동,9**,행촌로,단독,59.41,-,01/19,-,-,"5,500",0,-,-,
퇴계동,1***,우묵들길,다가구,50,신규,01/18,24.01-26.01,-,"11,000",0,-,-,
퇴계동,1***,남춘천길5번길,다가구,36,신규,01/18,24.01-25.01,-,500,45,-,-,
퇴계동,1***,우묵길70번길,다가구,28,신규,01/17,24.01-25.01,-,0,52,-,-,
퇴계동,4**,국사봉길,다가구,40,신규,01/17,24.01-25.01,-,300,48,-,-,
퇴계동,1***,남춘천길,단독,30,신규,01/17,24.01-25.01,-,300,41,-,-,
퇴계동,2**,영서로2151번길,다가구,50,신규,01/16,24.02-26.02,-,"1,000",60,-,-,
퇴계동,3**,퇴계로77번길,단독,40,신규,01/15,24.01-25.01,-,300,38,-,-,
퇴계동,4**,국사봉길,다가구,38.94,신규,01/15,24.01-25.01,-,500,48,-,-,
퇴계동,1***,우묵길78번길,다가구,131.58,신규,01/13,24.01-26.01,-,"3,000",120,-,-,
퇴계동,1***,남춘천길5번길,단독,105.57,신규,01/13,24.02-26.08,-,"3,000",85,-,-,
퇴계동,4**,영서로2151번길,단독,84.54,신규,01/13,24.01-26.01,-,"5,000",50,-,-,
퇴계동,4**,영서로2151번길,단독,84.54,-,01/13,-,-,"5,000",50,-,-,
퇴계동,8**,충혼길5번길,단독,52,신규,01/13,24.03-26.03,-,"5,000",0,-,-,
퇴계동,9**,춘주로147번길,다가구,50,-,01/11,-,-,"2,000",30,-,-,
퇴계동,6**,남춘로5번길,단독,20,-,01/09,-,-,"1,500",25,-,-,
퇴계동,4**,국사봉길,다가구,28,신규,01/09,24.02-25.01,-,300,40,-,-,
퇴계동,1***,남춘로5번길,다가구,34.4,신규,01/08,24.02-25.02,-,300,40,-,-,
퇴계동,9**,퇴계로146번길,단독,33,신규,01/08,24.01-25.01,-,300,37,-,-,
퇴계동,1***,효자로,다가구,28,신규,01/08,24.01-26.01,-,"1,000",46,-,-,
퇴계동,1***,우묵길70번길,다가구,28,신규,01/06,24.02-25.02,-,300,48,-,-,
퇴계동,8**,공원2길,다가구,30,신규,01/06,24.01-25.01,-,500,45,-,-,
퇴계동,8**,공원2길,단독,30,신규,01/06,24.01-25.01,-,500,45,-,-,
퇴계동,1***,효자로14번길,다가구,28,신규,01/05,24.01-25.01,-,300,47,-,-,
퇴계동,6**,충혼길4번길,다가구,150,신규,01/05,24.02-26.02,-,"23,000",0,-,-,
퇴계동,1***,승지골길,단독,33,-,01/05,-,-,300,30,-,-,
퇴계동,1***,퇴계로145번길,단독,33,-,01/03,-,-,300,30,-,-,
퇴계동,1***,우묵길,다가구,45,신규,01/02,24.01-26.01,-,"12,000",0,-,-,
