매물 유형,매물 제목,소재지,가격,면적,층수,방향,태그
단독/다가구,단독,강원도 춘천시 후평동 795-6,"월세1,000/30",48/48m²,2/2층,남향,"25년이상, 융자금없는, 보일러교체"
아파트,후평봉의 1동,강원도 춘천시 후평동 542-3,"전세4,600",41A/41m²,2/5층,동향,
아파트,주공7단지 710동,강원도 춘천시 후평동 477,"전세9,000",49A/39m²,4/5층,남향,
아파트,주공7단지 705동,강원도 춘천시 후평동 477,"전세9,500",49B/39m²,5/5층,남향,
단독/다가구,단독,강원도 춘천시 후평동 704-13,"전세8,000",42/42m²,2/4층,남동향,"10년이내, 화장실한개, 소형평수, 방한개"
원룸,일반원룸,강원도 춘천시 후평동 755-22,월세500/42,30/28m²,2/4층,남향,"10년이내, 소형평수, 방한개"
아파트,주공7단지 714동,강원도 춘천시 후평동 477,월세300/30,49A/39m²,1/5층,남향,
원룸,일반원룸,강원도 춘천시 후평동 751-6,"전세8,000",-/33m²,2/4층,남서향,"10년이내, 방두개, 화장실한개, 중층"
아파트,후평주공4단지 402동,강원도 춘천시 후평동 808-1,"전세7,000",47/42m²,1/5층,남향,
단독/다가구,단독,강원도 춘천시 후평동 457-4,"월세2,000/40",46/46m²,3/4층,서향,"25년이상, 융자금적은, 소형평수, 방두개"
아파트,주공5단지 509동,강원도 춘천시 후평동 481,월세500/40,57/47m²,3/5층,남동향,
아파트,주공5단지 505동,강원도 춘천시 후평동 481,"전세7,000",49A/39m²,4/5층,남동향,
아파트,후평봉의 6동,강원도 춘천시 후평동 542-3,월세300/30,41B/41m²,3/5층,동향,
아파트,후평주공4단지 427동,강원도 춘천시 후평동 808-1,월세500/40,52A/47m²,3/5층,남향,
아파트,주공7단지 705동,강원도 춘천시 후평동 477,"전세9,500",49B/39m²,5/5층,남향,
아파트,주공7단지 705동,강원도 춘천시 후평동 477,"전세9,500",49B/39m²,5/5층,남향,
아파트,주공5단지 505동,강원도 춘천시 후평동 481,월세300/30,49A/39m²,4/5층,남동향,
아파트,주공5단지 511동,강원도 춘천시 후평동 481,전세1억,49B/39m²,5/5층,남동향,
아파트,주공7단지 707동,강원도 춘천시 후평동 477,월세500/50,57/46m²,1/5층,남향,
원룸,일반원룸,강원도 춘천시 후평동 711-55,월세300/32,93/39m²,1/3층,남서향,"25년이상, 1층, 화장실한개"
빌라,빌라,강원도 춘천시 후평동 711-44,"전세4,200",32/24m²,2/5층,서향,"15년이내, 화장실한개, 소형평수, 방한개"
원룸,일반원룸,강원도 춘천시 후평동 723,"전세7,000",-/27m²,2/4층,서향,"10년이내, 세대분리, 화장실한개"
아파트,주공5단지 501동,강원도 춘천시 후평동 481,월세500/45,49A/39m²,4/5층,남동향,
아파트,동산 102동,강원도 춘천시 후평동 575-4,"전세5,900",31/31m²,5/10층,동향,
원룸,일반원룸,강원도 춘천시 후평동 754-17,"전세8,000",212/21m²,3/4층,북서향,"4년이내, 대형평수, 방한개"
원룸,일반원룸,강원도 춘천시 후평동 445-22,"전세7,500",-/45m²,중/4층,남서향,"10년이내, 화장실한개, 방두개"
원룸,일반원룸,강원도 춘천시 후평동 445-22,"전세7,500",366/30m²,2/4층,남동향,"10년이내, 융자금적은, 대형평수"
