매물 유형,매물 제목,소재지,가격,면적,층수,방향,태그,위도,경도
원룸,일반원룸,강원도 춘천시 석사동 291-19,월세300/38,27/27m²,1/3층,북서향,"25년이내, 융자금적은, 1층",37.8559002,127.7493584
아파트,세경5차 508동,강원도 춘천시 석사동 694,"월세1,000/50",65/48m²,4/5층,남향,,37.8627861,127.7372546
단독/다가구,다가구,강원도 춘천시 석사동 843-10,월세500/48,-/50m²,3/4층,북동향,"15년이내, 방두개, 화장실한개, 고층",37.8529286,127.7467039
단독/다가구,다가구,강원도 춘천시 석사동 946-3,월세300/30,-/33m²,2/3층,남서향,"25년이내, 방한개, 화장실한개, 중층",37.84816470000001,127.7500303
아파트,근로복지(석사) 110동,강원도 춘천시 석사동 694-1,월세500/40,58A/46m²,2/5층,남향,,37.8620242,127.7383072
원룸,일반원룸,강원도 춘천시 석사동 923-1,"전세5,500",-/33m²,2/4층,남서향,"25년이내, 방한개, 화장실한개, 중층",37.8490984,127.7517227
원룸,일반원룸,강원도 춘천시 석사동 940-2,월세300/30,36/36m²,2/3층,동향,"25년이내, 화장실한개, 소형평수, 방한개",37.848849,127.749626
단독/다가구,다가구,강원도 춘천시 석사동 940-2,월세300/30,-/33m²,2/3층,남동향,"25년이내, 방한개, 화장실한개, 중층",37.848849,127.749626
원룸,일반원룸,강원도 춘천시 석사동 946-3,월세300/30,36/36m²,2/3층,남동향,"25년이내, 융자금없는, 소형평수, 방한개",37.84816470000001,127.7500303
원룸,일반원룸,강원도 춘천시 석사동 928-2,월세300/35,-/30m²,2/3층,북향,"25년이내, 화장실한개, 방한개, 중층",37.8484871,127.7518686
원룸,일반원룸,강원도 춘천시 석사동 843-10,월세300/35,30/30m²,2/4층,남향,"15년이내, 융자금없는, 화장실한개, 소형평수",37.8529286,127.7467039
단독/다가구,다가구,강원도 춘천시 석사동 942-2,월세500/60,50/50m²,2/4층,남동향,"15년이내, 소형평수, 방두개, 화장실한개",37.8486907,127.7503026
원룸,일반원룸,강원도 춘천시 석사동 302-4,월세200/30,23/23m²,중/3층,남서향,"25년이내, 융자금없는, 화장실한개",37.8571815,127.7457964
원룸,일반원룸,강원도 춘천시 석사동 923-1,"전세5,500",34/34m²,2/4층,남향,"25년이내, 소형평수, 방한개, 화장실한개",37.8490984,127.7517227
원룸,일반원룸,강원도 춘천시 석사동 654-14,월세200/20,-/22m²,1/3층,북향,"25년이상, 1층, 화장실한개",37.8589509,127.7407311
단독/다가구,다가구,강원도 춘천시 석사동 843-10,월세300/35,33/33m²,2/4층,남향,"15년이내, 소형평수, 방한개, 화장실한개",37.8529286,127.7467039
원룸,일반원룸,강원도 춘천시 석사동 669-8,월세400/40,95/47m²,B1/2층,남향,"25년이상, 방두개, 화장실한개",37.8582516,127.7434013
아파트,근로복지(석사) 108동,강원도 춘천시 석사동 694-1,"월세1,000/50",58A/46m²,5/5층,남향,,37.8620242,127.7383072
아파트,근로복지(석사) 107동,강원도 춘천시 석사동 694-1,전세1억,58B/47m²,5/5층,남향,,37.8620242,127.7383072
원룸,일반원룸,강원도 춘천시 석사동 840-8,월세300/25,22/22m²,고/3층,북동향,"25년이내, 화장실한개, 소형평수",37.8530967,127.7468413
단독/다가구,다가구,강원도 춘천시 석사동 643-12,월세200/25,-/33m²,2/2층,남동향,"25년이상, 방한개, 화장실한개, 고층",37.8595933,127.7418762
원룸,일반원룸,강원도 춘천시 석사동 656-11,"전세2,500",-/25m²,2/3층,남서향,"25년이상, 화장실한개, 방한개, 중층",37.8591685,127.7397525
단독/다가구,다가구,강원도 춘천시 석사동 740-11,"전세8,000",46/40m²,3/4층,남서향,"25년이내, 소형평수, 방두개",37.8658177,127.7508962
단독/다가구,다가구,강원도 춘천시 석사동 902-3,월세300/28,-/28m²,3/4층,남동향,"25년이내, 방한개, 화장실한개, 고층",37.8505276,127.7491101
아파트,근로복지(석사) 109동,강원도 춘천시 석사동 694-1,"전세1억 1,000",58B/47m²,4/5층,남서향,,37.8620242,127.7383072
원룸,일반원룸,강원도 춘천시 석사동 313-20,월세200/30,26/26m²,1/3층,서향,"25년이상, 1층, 세대분리, 화장실한개",37.8572422,127.7478589
원룸,일반원룸,강원도 춘천시 석사동 313-18,월세200/29,24/24m²,2/3층,남향,"25년이상, 융자금적은, 화장실한개, 소형평수",37.8572399,127.7475535
단독/다가구,다가구,강원도 춘천시 석사동 698-11,월세500/40,43/43m²,2/2층,북서향,"25년이상, 소형평수, 방두개, 화장실한개",37.86062039999999,127.7407564
원룸,일반원룸,강원도 춘천시 석사동 951-7,월세300/30,30/30m²,2/3층,남서향,"25년이내, 소형평수, 방한개, 화장실한개",37.8479517,127.7512432
원룸,일반원룸,강원도 춘천시 석사동 919-9,"전세5,000",30/30m²,2/3층,남동향,"15년이내, 융자금적은, 소형평수, 방한개",37.8493093,127.7510947
