매물 유형,매물 제목,소재지,가격,면적,층수,방향,위도,경도
빌라,빌라,강원도 춘천시 후평동 711-44,"전세4,200",32/24m²,2/5층,서향,37.8846062,127.7449925
원룸,일반원룸,강원도 춘천시 후평동 723,"전세7,000",-/27m²,2/4층,서향,37.8851655,127.7471416
아파트,동산 102동,강원도 춘천시 후평동 575-4,"전세5,900",31/31m²,5/10층,동향,37.8876908,127.7423647
아파트,주공5단지 501동,강원도 춘천시 후평동 481,월세500/45,49A/39m²,4/5층,남동향,37.8749184,127.747821
원룸,일반원룸,강원도 춘천시 후평동 754-17,"전세8,000",212/21m²,3/4층,북서향,37.88987669999999,127.7534849
원룸,일반원룸,강원도 춘천시 후평동 445-22,"전세7,500",-/45m²,중/4층,남서향,37.8784746,127.7462367
아파트,주공7단지 707동,강원도 춘천시 후평동 477,월세500/50,57/46m²,1/5층,남서향,37.8744506,127.7498053
아파트,주공7단지 707동,강원도 춘천시 후평동 477,월세500/50,57/46m²,1/5층,남향,37.8744506,127.7498053
아파트,후평봉의 6동,강원도 춘천시 후평동 542-3,"전세5,000",41B/41m²,5/5층,동향,37.8864336,127.7429133
아파트,주공5단지 503동,강원도 춘천시 후평동 481,"전세9,500",49B/39m²,2/5층,남향,37.8749184,127.747821
아파트,세경3차 301동,강원도 춘천시 후평동 845-1,"월세5,000/40",66/49m²,11/15층,남향,37.8855413,127.7444675
원룸,일반원룸,강원도 춘천시 후평동 704-13,"전세8,000",-/38m²,2/4층,북서향,37.8833302,127.7472917
원룸,일반원룸,강원도 춘천시 후평동 872-10,"전세5,000",27/27m²,중/3층,남서향,37.8765753,127.7579326
아파트,주공5단지 510동,강원도 춘천시 후평동 481,월세500/50,49A/39m²,3/5층,남동향,37.8749184,127.747821
원룸,일반원룸,강원도 춘천시 후평동 736-14,월세100/30,25/25m²,중/2층,남동향,37.8856617,127.7534337
원룸,일반원룸,강원도 춘천시 후평동 245-97,월세200/28,21/21m²,저/3층,동향,37.8899017,127.7497941
아파트,석사주공2단지 208동,강원도 춘천시 후평동 899,"월세1,000/50",53/37m²,2/15층,동향,37.87165299999999,127.756433
원룸,일반원룸,강원도 춘천시 후평동 672-3,월세500/50,36/36m²,1/3층,남향,37.8811097,127.7407056
원룸,일반원룸,강원도 춘천시 후평동 684-21,월세300/40,33/30m²,3/4층,남서향,37.8805378,127.7434114
단독/다가구,단독,강원도 춘천시 후평동,"전세6,000",49/49m²,2/2층,남동향,37.8826435,127.7485821
원룸,일반원룸,강원도 춘천시 후평동 673-7,월세300/30,25/25m²,2/3층,남향,37.8807799,127.7412806
단독/다가구,다가구,강원도 춘천시 후평동 689-9,"전세6,000",35/35m²,2/2층,남향,37.879856,127.7463129
원룸,일반원룸,강원도 춘천시 후평동 523-45,월세100/24,28/23m²,1/3층,동향,37.8818431,127.7423219
단독/다가구,다가구,강원도 춘천시 후평동 726-22,월세500/55,45/45m²,2/4층,동향,37.883662,127.748424
상가주택,상가주택,강원도 춘천시 후평동 723,"전세7,000",30/29m²,2/4층,북서향,37.8851655,127.7471416
아파트,주공7단지 705동,강원도 춘천시 후평동 477,"전세9,500",49B/39m²,5/5층,남향,37.8744506,127.7498053
아파트,주공5단지 502동,강원도 춘천시 후평동 481,월세300/30,49A/39m²,4/5층,남동향,37.8749184,127.747821
아파트,세경3차 302동,강원도 춘천시 후평동 845-1,"월세1,000/45",66/49m²,3/15층,남향,37.8855413,127.7444675
