매물 유형,매물 제목,소재지,가격,면적,층수,방향,태그,위도,경도
오피스텔,남춘천역코아루웰라움타워 1동,강원도 춘천시 퇴계동 369-9,"전세1억 8,000",109F/49m²,15/23층,동향,,37.8631809,127.7299503
오피스텔,남춘천역코아루웰라움타워 1동,강원도 춘천시 퇴계동 369-9,"월세1,000/85",106G/49m²,10/23층,남향,,37.8631809,127.7299503
단독/다가구,다가구,강원도 춘천시 퇴계동 1226,월세500/50,56/49m²,2/3층,남서향,"10년이내, 소형평수, 방두개",37.8648758,127.7276695
오피스텔,남춘천역코아루웰라움타워 1동,강원도 춘천시 퇴계동 369-9,월세500/60,48AD/21m²,22/23층,서향,,37.8631809,127.7299503
원룸,일반원룸,강원도 춘천시 퇴계동 956-15,월세200/30,-/30m²,2/4층,남서향,"25년이내, 세대분리, 화장실한개",37.8607781,127.7354251
단독/다가구,다가구,강원도 춘천시 퇴계동 904-3,월세800/38,49/49m²,3/3층,남서향,"25년이상, 소형평수, 방두개",37.8594875,127.7251997
원룸,일반원룸,강원도 춘천시 퇴계동 947-3,월세300/30,167/27m²,2/3층,북동향,"25년이내, 융자금없는, 화장실한개, 대형평수",37.8614795,127.7354043
원룸,일반원룸,강원도 춘천시 퇴계동 956-11,"전세4,000",-/30m²,4/4층,북동향,"25년이내, 화장실한개, 방한개, 고층",37.860463,127.7359792
오피스텔,남춘천역코아루웰라움타워 1동,강원도 춘천시 퇴계동 369-9,월세500/65,58B/26m²,6/23층,남향,,37.8631809,127.7299503
원룸,일반원룸,강원도 춘천시 퇴계동 1226,월세500/55,40/38m²,2/3층,남향,"10년이내, 화장실한개, 소형평수, 방두개",37.8648758,127.7276695
단독/다가구,다가구,강원도 춘천시 퇴계동 1143-12,"전세1억 5,000",55/50m²,3/4층,북동향,"4년이내, 소형평수, 방두개",37.865372,127.7284702
오피스텔,남춘천역코아루웰라움타워 1동,강원도 춘천시 퇴계동 369-9,"전세9,000",48A/21m²,12/23층,북향,,37.8631809,127.7299503
오피스텔,남춘천역코아루웰라움타워 1동,강원도 춘천시 퇴계동 369-9,월세500/50,48A/21m²,11/23층,서향,,37.8631809,127.7299503
오피스텔,남춘천역코아루웰라움타워 1동,강원도 춘천시 퇴계동 369-9,"전세1억 2,000",58BD/26m²,22/23층,남동향,,37.8631809,127.7299503
원룸,일반원룸,강원도 춘천시 퇴계동 979-2,월세300/42,-/33m²,2/4층,서향,"15년이내, 화장실한개, 방한개",37.8587707,127.7343379
원룸,일반원룸,강원도 춘천시 퇴계동 947-3,월세300/30,33/30m²,2/3층,남서향,"25년이내, 화장실한개, 소형평수",37.8614795,127.7354043
원룸,일반원룸,강원도 춘천시 퇴계동 914-1,월세300/38,131/32m²,3/4층,남동향,"10년이내, 화장실한개, 방한개",37.8588218,127.7251236
오피스텔,남춘천역코아루웰라움타워 1동,강원도 춘천시 퇴계동 369-9,월세500/65,58B/26m²,18/23층,남향,,37.8631809,127.7299503
원룸,일반원룸,강원도 춘천시 퇴계동 1192-10,"전세1억 2,000",49/49m²,3/4층,북동향,"10년이내, 역세권, 소형평수, 방두개",37.864847,127.7233094
원룸,일반원룸,강원도 춘천시 퇴계동 956-3,월세200/28,30/30m²,2/3층,남서향,"25년이내, 융자금없는, 화장실한개",37.8608091,127.735663
원룸,일반원룸,강원도 춘천시 퇴계동 964-5,"전세4,000",33/30m²,3/4층,남향,"25년이내, 화장실한개, 소형평수, 방한개",37.859652,127.7354754
오피스텔,남춘천역코아루웰라움타워 1동,강원도 춘천시 퇴계동 369-9,월세500/65,58B/26m²,21/23층,남서향,,37.8631809,127.7299503
오피스텔,남춘천역코아루웰라움타워 1동,강원도 춘천시 퇴계동 369-9,월세500/55,48A/21m²,15/23층,북서향,,37.8631809,127.7299503
원룸,일반원룸,강원도 춘천시 퇴계동 1111,월세300/30,33/30m²,2/3층,동향,"15년이내, 화장실한개, 소형평수, 방한개",37.8608056,127.7343655
오피스텔,남춘천역코아루웰라움타워 1동,강원도 춘천시 퇴계동 369-9,"월세1,500/50",48A/21m²,10/23층,서향,,37.8631809,127.7299503
오피스텔,남춘천역코아루웰라움타워 1동,강원도 춘천시 퇴계동 369-9,"월세4,000/47",58B/26m²,3/23층,남향,,37.8631809,127.7299503
빌라,기타,강원도 춘천시 퇴계동 977-9,월세300/30,30/27m²,1/3층,동향,"25년이내, 1층, 소형평수, 방한개",37.8589552,127.7344387
원룸,일반원룸,강원도 춘천시 퇴계동 899-7,월세300/40,33/33m²,2/4층,남향,"10년이내, 융자금적은, 세대분리, 화장실한개",37.8609125,127.7272626
원룸,일반원룸,강원도 춘천시 퇴계동 882-7,월세100/20,30/25m²,1/3층,서향,"25년이내, 융자금없는, 1층, 화장실한개",37.8608402,127.7239878
원룸,일반원룸,강원도 춘천시 퇴계동 886-5,월세300/37,29/29m²,1/4층,남동향,"10년이내, 1층, 화장실한개, 소형평수",37.8604766,127.7243727
단독/다가구,단독,강원도 춘천시 퇴계동,월세500/30,33/33m²,3/3층,동향,"25년이상, 융자금없는, 소형평수, 방두개",37.8539506,127.7315342
단독/다가구,단독,강원도 춘천시 퇴계동,"전세2,700",24/24m²,2/3층,동향,"25년이상, 융자금없는, 소형평수, 방한개",37.8539506,127.7315342
단독/다가구,다가구,강원도 춘천시 퇴계동 947-3,월세300/30,30/27m²,2/3층,북동향,"25년이내, 융자금없는, 소형평수, 방한개",37.8614795,127.7354043
