매물 유형,매물 제목,소재지,가격,면적,층수,방향,태그,위도,경도
아파트,근로복지(석사) 109동,강원도 춘천시 석사동 694-1,"전세1억 1,000",58B/47m²,4/5층,남서향,,37.8620242,127.7383072
원룸,일반원룸,강원도 춘천시 석사동 313-20,"전세5,000",-/26m²,1/3층,북서향,"25년이상, 융자금없는, 1층",37.8572422,127.7478589
원룸,일반원룸,강원도 춘천시 석사동 840-3,"전세4,000",31/31m²,2/3층,동향,"25년이내, 세대분리, 소형평수",37.8534554,127.7462825
원룸,일반원룸,강원도 춘천시 석사동 663-10,"전세2,500",26/26m²,2/3층,남향,"25년이상, 융자금없는, 소형평수, 방한개",37.8576021,127.7431093
단독/다가구,다가구,강원도 춘천시 석사동 942-2,월세300/40,-/33m²,2/3층,남향,"25년이내, 방한개, 화장실한개, 중층",37.8486907,127.7503026
단독/다가구,다가구,강원도 춘천시 석사동 766-11,월세500/58,49/49m²,2/3층,북서향,"25년이상, 소형평수, 방두개",37.863551,127.7498371
상가주택,상가주택,강원도 춘천시 석사동 695-3,월세200/20,23/23m²,2/3층,남향,"25년이상, 화장실한개, 소형평수, 방한개",37.8621925,127.7400665
원룸,일반원룸,강원도 춘천시 석사동 942-2,월세300/40,-/30m²,2/4층,남향,"25년이내, 세대분리, 화장실한개",37.8486907,127.7503026
원룸,일반원룸,강원도 춘천시 석사동 940-5,월세300/33,-/36m²,4/4층,남동향,"25년이내, 화장실한개, 방한개",37.8486864,127.7496812
원룸,일반원룸,강원도 춘천시 석사동 302-4,월세200/30,23/23m²,중/3층,남서향,"25년이내, 융자금없는, 화장실한개",37.8571815,127.7457964
원룸,일반원룸,강원도 춘천시 석사동 911-6,월세200/28,38/38m²,1/3층,서향,"25년이내, 1층, 소형평수, 방한개",37.8496307,127.7496406
단독/다가구,다가구,강원도 춘천시 석사동 766-11,월세500/58,57/47m²,2/3층,남서향,"25년이상, 화장실한개, 소형평수, 방두개",37.863551,127.7498371
원룸,일반원룸,강원도 춘천시 석사동 948-1,월세200/30,-/24m²,3/4층,서향,"25년이내, 화장실한개, 방한개",37.8477185,127.7501821
단독/다가구,다가구,강원도 춘천시 석사동 649-7,월세200/28,34/34m²,1/3층,남동향,"25년이상, 융자금없는, 1층",37.8609043,127.7417048
단독/다가구,단독,강원도 춘천시 석사동,월세400/40,50/50m²,고/2층,남동향,"25년이상, 소형평수, 방두개",37.858413,127.7508221
원룸,일반원룸,강원도 춘천시 석사동 840-8,월세300/25,22/22m²,고/3층,북동향,"25년이내, 화장실한개, 소형평수, 방한개",37.8530967,127.7468413
아파트,근로복지(석사) 107동,강원도 춘천시 석사동 694-1,전세1억,58B/47m²,5/5층,남향,,37.8620242,127.7383072
단독/다가구,다가구,강원도 춘천시 석사동 951-1,월세200/30,-/33m²,2/3층,남동향,"25년이내, 방한개, 화장실한개, 중층",37.8481964,127.7508004
원룸,일반원룸,강원도 춘천시 석사동 838-2,"전세3,600",23/23m²,3/4층,남서향,"25년이내, 융자금없는, 화장실한개, 소형평수",37.8535632,127.7469728
단독/다가구,단독,강원도 춘천시 석사동,월세200/25,198m²,-/-층,남향,"25년이상, 소형평수, 방한개, 화장실한개",37.858413,127.7508221
원룸,일반원룸,강원도 춘천시 석사동 313-20,월세200/30,25/25m²,1/3층,남동향,"25년이상, 융자금없는, 1층, 화장실한개",37.8572422,127.7478589
아파트,근로복지(석사) 101동,강원도 춘천시 석사동 694-1,"전세1억 1,000",58A/46m²,4/5층,남서향,,37.8620242,127.7383072
원룸,일반원룸,강원도 춘천시 석사동 840-14,월세300/28,22/22m²,2/3층,동향,"25년이내, 융자금없는, 소형평수, 방한개",37.8534276,127.7459254
원룸,일반원룸,강원도 춘천시 석사동 313-20,월세200/30,26/26m²,1/3층,남동향,"25년이상, 융자금없는, 1층, 화장실한개",37.8572422,127.7478589
