매물 유형,매물 제목,소재지,가격,면적,층수,방향,태그,위도,경도
아파트,동보 103동,강원도 춘천시 효자동 821,월세300/30,47/28m²,12/13층,남동향,,37.8632773,127.7408687
단독/다가구,다가구,강원도 춘천시 효자동 40-6,월세500/50,43/43m²,2/4층,남서향,"15년이내, 소형평수, 방두개, 화장실한개",37.876002,127.7409719
아파트,동보 103동,강원도 춘천시 효자동 821,월세300/30,47/28m²,2/13층,남동향,,37.8632773,127.7408687
아파트,동보 101동,강원도 춘천시 효자동 821,월세300/40,61/37m²,1/13층,남서향,,37.8632773,127.7408687
원룸,일반원룸,강원도 춘천시 효자동 179-24,월세300/40,3/30m²,1/3층,남향,"2년이내, 1층, 소형평수, 방한개",37.870771,127.7358516
원룸,일반원룸,강원도 춘천시 효자동 650-2,월세300/40,33/30m²,1/4층,남동향,"10년이내, 1층, 세대분리, 화장실한개",37.8745335,127.7355552
원룸,일반원룸,강원도 춘천시 효자동 776-7,월세200/30,22/20m²,4/4층,동향,"25년이내, 화장실한개, 소형평수, 방한개",37.8729811,127.7401035
원룸,일반원룸,강원도 춘천시 효자동 162-12,"전세5,000",-/20m²,2/3층,남동향,"10년이내, 융자금적은, 세대분리, 화장실한개",37.8708076,127.7366025
원룸,일반원룸,강원도 춘천시 효자동 313-2,월세100/30,20/20m²,1/3층,남향,"25년이내, 융자금적은, 1층, 세대분리",37.8656156,127.7355786
단독/다가구,다가구,강원도 춘천시 효자동 603-5,월세100/32,17/15m²,2/5층,북동향,"25년이상, 소형평수, 방한개, 화장실한개",37.8754714,127.7375056
원룸,일반원룸,강원도 춘천시 효자동 758-9,월세500/48,35/30m²,3/4층,남동향,"10년이내, 화장실한개, 소형평수, 방한개",37.8782811,127.7418019
단독/다가구,다가구,강원도 춘천시 효자동 613-7,"전세4,000",20/20m²,1/3층,남서향,"25년이내, 1층, 소형평수, 방한개",37.875409,127.7400761
오피스텔,더베네치아스위트(생활숙박시설) 1동,강원도 춘천시 효자동 651,"월세1,000/50",35A/20m²,11/15층,남동향,,37.8746442,127.7350463
아파트,동보 103동,강원도 춘천시 효자동 821,"월세1,000/25",47/28m²,6/13층,동향,,37.8632773,127.7408687
아파트,동보 102동,강원도 춘천시 효자동 821,"전세5,200",47/28m²,6/12층,동향,,37.8632773,127.7408687
원룸,일반원룸,강원도 춘천시 효자동 305-61,월세300/30,25/25m²,2/4층,남서향,"15년이내, 융자금적은, 소형평수, 화장실한개",37.865437,127.7345225
원룸,일반원룸,강원도 춘천시 효자동 759-10,월세300/35,33/30m²,2/4층,남동향,"15년이내, 화장실한개, 소형평수, 방한개",37.8780381,127.7423069
원룸,일반원룸,강원도 춘천시 효자동 397-15,월세500/50,40/35m²,2/4층,남동향,"10년이내, 소형평수, 화장실한개, 방한개",37.8679747,127.7330797
원룸,일반원룸,강원도 춘천시 효자동 613-20,월세300/42,29/29m²,4/4층,서향,"10년이내, 소형평수, 화장실한개, 방한개",37.875687,127.7400044
원룸,일반원룸,강원도 춘천시 효자동 758-9,월세500/39,28/28m²,3/4층,북서향,"10년이내, 융자금적은, 소형평수, 화장실한개",37.8782811,127.7418019
원룸,일반원룸,강원도 춘천시 효자동 18-21,월세300/44,30/28m²,4/4층,남동향,"10년이내, 화장실한개, 소형평수, 방한개",37.8765148,127.7440423
원룸,일반원룸,강원도 춘천시 효자동 613-15,월세500/40,29/29m²,3/4층,서향,"10년이내, 융자금적은, 소형평수, 화장실한개",37.8754338,127.7405515
원룸,일반원룸,강원도 춘천시 효자동 754-5,월세300/37,30/27m²,3/4층,서향,"10년이내, 세대분리, 소형평수, 화장실한개",37.8799841,127.7404997
원룸,일반원룸,강원도 춘천시 효자동 44-44,월세200/27,30/27m²,1/3층,남서향,"25년이내, 1층, 화장실한개, 소형평수",37.8769969,127.7411479
원룸,일반원룸,강원도 춘천시 효자동 18-28,"전세5,500",30/27m²,2/3층,동향,"25년이내, 융자금없는, 화장실한개, 소형평수",37.8763572,127.7442797
단독/다가구,다가구,강원도 춘천시 효자동 176-11,"전세2,000",15/15m²,1/1층,서향,"25년이상, 1층, 소형평수, 방한개",37.8666334,127.7370479
오피스텔,더베네치아스위트(생활숙박시설) 1동,강원도 춘천시 효자동 651,"월세1,000/50",39B/23m²,11/15층,남향,,37.8746442,127.7350463
원룸,일반원룸,강원도 춘천시 효자동 176-11,"전세5,000",35/35m²,1/1층,남동향,"25년이상, 융자금적은, 1층, 세대분리",37.8666334,127.7370479
단독/다가구,다가구,강원도 춘천시 효자동 650-2,"전세7,500",30/27m²,2/4층,남동향,"10년이내, 세대분리, 소형평수, 방한개",37.8745335,127.7355552
원룸,일반원룸,강원도 춘천시 효자동 302-12,월세100/25,20/20m²,2/3층,남향,"25년이상, 융자금적은, 화장실한개, 소형평수",37.8647922,127.7336677
아파트,동보 101동,강원도 춘천시 효자동 821,월세400/45,61/37m²,9/13층,북서향,,37.8632773,127.7408687
단독/다가구,다가구,강원도 춘천시 효자동 600,월세200/30,30/30m²,3/3층,남향,"25년이상, 융자금적은, 세대분리, 소형평수",37.8748188,127.7359226
단독/다가구,다가구,강원도 춘천시 효자동 600,"전세4,000",30/30m²,1/3층,남동향,"25년이상, 융자금적은, 1층, 소형평수",37.8748188,127.7359226
원룸,일반원룸,강원도 춘천시 효자동 603-6,월세300/47,40/30m²,2/4층,남향,"15년이내, 융자금없는, 소형평수, 방한개",37.8754187,127.7376188
원룸,일반원룸,강원도 춘천시 효자동 705-15,월세500/40,30/30m²,5/5층,남향,"15년이내, 화장실한개, 소형평수, 방한개",37.8660992,127.7308588
아파트,동보 103동,강원도 춘천시 효자동 821,월세200/35,47/28m²,10/13층,남동향,,37.8632773,127.7408687
단독/다가구,다가구,강원도 춘천시 효자동 569-9,"전세8,500",45/45m²,2/3층,북동향,"10년이내, 화장실한개, 소형평수, 방한개",37.870878,127.7277439
단독/다가구,다가구,강원도 춘천시 효자동 569-9,월세33/18,45/45m²,2/3층,북동향,"15년이내, 융자금없는, 소형평수, 방한개",37.870878,127.7277439
