법정동,지번,도로명,주택유형,연면적(㎡),계약구분,계약일,계약기간,갱신요구권사용,보증금(만원),월세(만원),종전보증금(만원),종전월세(만원),전산공부
석사동,9**,,다가구,25.0,-,2021-03-31,-,-,"4,500",0,-,-,
석사동,9**,스무숲1길,다가구,25.0,-,2021-03-26,-,-,"4,000",0,-,-,
석사동,9**,,다가구,25.0,-,2021-03-22,-,-,"4,000",0,-,-,
석사동,3**,후석로66번길,단독,27.0,-,2021-03-12,-,-,"5,000",0,-,-,
석사동,6**,효석로135번길,단독,19.04,-,2021-03-12,-,-,"4,000",0,-,-,
석사동,7**,애막골길20번길,다가구,23.0,-,2021-03-11,-,-,"2,500",0,-,-,
석사동,9**,스무숲1길,다가구,24.0,-,2021-03-09,-,-,"3,000",0,-,-,
석사동,9**,스무숲1길,다가구,23.0,-,2021-03-09,-,-,"4,000",0,-,-,
석사동,9**,안마산로,다가구,25.0,-,2021-03-06,-,-,300,29,-,-,
석사동,3**,외솔길,단독,23.84,-,2021-03-02,-,-,500,28,-,-,
석사동,8**,새롬공원길5번길,단독,25.0,-,2021-03-01,-,-,"4,000",0,-,-,
후평동,6**,성심로47번길,단독,24.0,신규,2022-01-30,22.02-24.02,-,"7,000",0,-,-,
후평동,6**,효평길,다가구,17.48,신규,2022-01-29,22.02-23.02,-,300,38,-,-,
후평동,7**,성심로47번길,다가구,20.6,-,2022-01-28,-,-,"3,500",0,-,-,
후평동,6**,성심로47번길,단독,28.0,신규,2022-01-26,22.02-24.02,-,"7,000",0,-,-,
후평동,4**,으뜸길4번길,다가구,30.0,신규,2022-01-26,22.02-23.02,-,300,40,-,-,
후평동,6**,성심로47번길,단독,28.0,-,2022-01-26,22.02-24.02,-,"7,000",0,-,-,
후평동,7**,만천로,다가구,27.0,신규,2022-01-25,22.01-23.01,-,0,38,-,-,
후평동,7**,만천로,다가구,25.0,신규,2022-01-25,22.02-23.02,-,300,38,-,-,
후평동,7**,성심로47번길,다가구,28.0,-,2022-01-24,-,-,400,30,-,-,
후평동,8**,후석로379번길,단독,28.0,신규,2022-01-23,22.02-23.02,-,300,45,-,-,
후평동,7**,만천로,단독,25.0,신규,2022-01-22,22.02-23.02,-,300,38,-,-,
후평동,7**,만천로239번길,다가구,30.0,신규,2022-01-22,22.02-24.02,-,300,40,-,-,
후평동,7**,,단독,15.0,-,2022-01-20,-,-,200,30,-,-,
후평동,7**,,다가구,30.0,-,2022-01-18,-,-,300,40,-,-,
후평동,6**,춘천로282번길,단독,26.4,-,2022-01-18,-,-,200,30,-,-,
후평동,6**,,다가구,29.7,신규,2022-01-18,22.02-23.02,-,300,37,-,-,
후평동,5**,춘천로269번길,단독,28.0,신규,2022-01-16,22.02-23.02,-,300,37,-,-,
후평동,4**,춘천로270번길,단독,23.0,-,2022-01-15,-,-,"5,500",0,-,-,
후평동,7**,삭주로128번길,단독,22.64,-,2022-01-14,-,-,"3,000",0,-,-,
후평동,8**,후석로379번길,다가구,30.0,신규,2022-01-14,22.02-23.02,-,"7,000",0,-,-,
후평동,9*,후석로344번길,다가구,26.68,신규,2022-01-12,22.02-24.02,-,"8,000",0,-,-,
후평동,6**,성심로47번길,단독,30.0,신규,2022-01-11,22.02-24.02,-,"7,000",0,-,-,
후평동,7**,만천로239번길,다가구,26.0,신규,2022-01-11,22.01-23.01,-,300,43,-,-,
후평동,6**,성심로47번길,단독,30.0,신규,2022-01-11,22.02-24.02,-,"7,000",0,-,-,
후평동,6**,삭주로80번길,단독,28.0,신규,2022-01-11,22.01-23.01,-,300,42,-,-,
후평동,9*,후석로344번길,단독,26.0,신규,2022-01-11,22.01-23.01,-,300,37,-,-,
후평동,6**,춘천로270번길,다가구,29.7,-,2022-01-11,-,-,"6,000",0,-,-,
후평동,6**,춘천로,다가구,29.0,신규,2022-01-11,22.02-24.02,-,"8,500",0,-,-,
후평동,4**,춘천로282번길,다가구,25.0,갱신,2022-01-11,22.02-23.02,-,"7,000",0,"6,500",0,
후평동,7**,만천로195번길,단독,24.0,신규,2022-01-10,22.02-23.02,-,300,38,-,-,
후평동,7**,만천로195번길,단독,24.0,신규,2022-01-10,22.02-23.02,-,300,38,-,-,
후평동,4**,춘천로282번길,다가구,25.0,갱신,2022-01-08,22.01-24.01,-,"7,000",0,"6,500",0,
후평동,7**,만천로205번길,다가구,30.0,신규,2022-01-07,22.01-24.01,-,"6,500",0,-,-,
후평동,8**,삭주로108번길,다가구,28.0,신규,2022-01-05,22.02-23.02,-,300,43,-,-,
후평동,6**,춘천로270번길,다가구,30.0,-,2022-01-04,-,-,"6,000",0,-,-,
후평동,2**,,단독,25.0,-,2022-01-04,-,-,"4,000",0,-,-,
후평동,8**,삭주로108번길,단독,28.0,-,2022-01-03,-,-,500,30,-,-,
효자동,6**,춘천로204번길,다가구,23.0,-,2015-05-22,-,-,100,24,-,-,
효자동,7**,성심로66번길,다가구,23.2,-,2015-05-20,-,-,"2,000",0,-,-,
효자동,1**,백령로61번길,단독,14.48,-,2015-05-20,-,-,20,10,-,-,
효자동,7**,춘천로296번길,다가구,29.75,-,2015-05-18,-,-,"5,000",0,-,-,
효자동,1**,둥지길,다가구,20.0,-,2021-02-28,-,-,100,26,-,-,
효자동,1*,,다가구,27.0,-,2021-02-28,-,-,300,43,-,-,
효자동,3*,,다가구,23.0,-,2021-02-28,-,-,"2,000",7,-,-,
효자동,1**,법원뒷길,다가구,20.0,-,2021-02-28,-,-,300,33,-,-,
효자동,1**,백령로23번길,다가구,19.0,-,2021-02-26,-,-,"5,000",0,-,-,
효자동,1**,백령로23번길,다가구,22.93,-,2021-02-25,-,-,"4,000",0,-,-,
효자동,3**,공지로252번길,다가구,26.0,-,2021-02-25,-,-,"8,000",0,-,-,
효자동,1**,,다가구,24.0,-,2021-02-23,-,-,300,36,-,-,
효자동,1**,백령로67번길,다가구,26.4,-,2021-02-23,-,-,100,28,-,-,
효자동,1**,둥지길47번길,단독,30.0,-,2021-02-23,-,-,"4,500",0,-,-,
효자동,3**,공지로252번길,다가구,21.0,-,2021-02-23,-,-,300,30,-,-,
효자동,7**,백령로,단독,22.0,-,2021-02-23,-,-,"4,000",0,-,-,
효자동,1**,,다가구,25.0,-,2021-02-22,-,-,"5,500",0,-,-,
효자동,3**,남춘천새길41번길,다가구,26.0,-,2021-02-22,-,-,300,34,-,-,
효자동,3*,백령로147번길,다가구,23.14,-,2021-02-21,-,-,50,15,-,-,
효자동,1**,효제길23번길,다가구,18.27,-,2021-02-21,-,-,"3,000",0,-,-,
효자동,1**,효제길23번길,단독,21.86,-,2021-02-21,-,-,"5,500",0,-,-,
효자동,1**,,단독,25.0,-,2021-02-21,-,-,"5,000",0,-,-,
효자동,7**,춘천로296번길,다가구,30.0,-,2021-02-21,-,-,300,42,-,-,
효자동,1**,효제길23번길,다가구,30.0,-,2021-02-21,-,-,"3,500",0,-,-,
효자동,1**,둥지길47번길,다가구,24.0,-,2021-02-20,-,-,"4,500",0,-,-,
효자동,3**,공지로252번길,단독,19.0,-,2021-02-20,-,-,"4,000",0,-,-,
효자동,1**,효제길23번길,다가구,27.0,-,2021-02-20,-,-,"6,000",0,-,-,
효자동,1**,,다가구,21.7,-,2021-02-20,-,-,"2,000",15,-,-,
효자동,1**,둥지길47번길,단독,26.4,-,2021-02-20,-,-,"4,500",0,-,-,
효자동,1**,백령로23번길,다가구,30.0,-,2021-02-20,-,-,"7,000",0,-,-,
효자동,1**,백령로67번길,다가구,25.06,-,2021-02-20,-,-,"6,000",0,-,-,
효자동,7**,백령로,다가구,22.0,-,2021-02-19,-,-,"4,000",0,-,-,
효자동,1*,으뜸길,단독,25.0,-,2021-02-19,-,-,"6,000",0,-,-,
효자동,7**,백령로111번길,단독,22.0,-,2021-02-18,-,-,300,36,-,-,
효자동,1*,백령로,단독,27.0,-,2021-02-18,-,-,"3,500",0,-,-,
효자동,6**,효자로150번길,다가구,30.0,-,2021-02-17,-,-,"7,000",0,-,-,
효자동,1**,둥지길,다가구,23.1,-,2021-02-17,-,-,"5,000",0,-,-,
효자동,6**,도화길6번길,다가구,30.0,-,2021-02-16,-,-,"3,500",0,-,-,
효자동,6**,효자로102번길,다가구,23.1,-,2021-02-16,-,-,"5,000",0,-,-,
효자동,6**,서부대성로173번길,단독,25.0,-,2021-02-15,-,-,"4,500",0,-,-,
효자동,1**,법원뒷길,다가구,30.0,-,2021-02-15,-,-,"4,500",0,-,-,
효자동,1**,백령로,다가구,30.0,-,2021-02-15,-,-,"5,000",0,-,-,
효자동,1**,백령로23번길,다가구,28.0,-,2021-02-15,-,-,"4,000",0,-,-,
효자동,1**,청운길29번길,다가구,25.0,-,2021-02-15,-,-,"4,500",0,-,-,
효자동,6**,,단독,25.0,-,2021-02-15,-,-,"5,000",0,-,-,
효자동,1**,백령로61번길,단독,25.0,-,2021-02-15,-,-,"5,000",0,-,-,
효자동,1**,공지로264번길,다가구,23.1,-,2021-02-15,-,-,100,30,-,-,
효자동,1**,둥지길47번길,다가구,30.0,-,2021-02-14,-,-,"4,500",0,-,-,
