매물 유형,매물 제목,소재지,가격,면적,층수,방향,태그
단독/다가구,다가구,강원도 춘천시 효자동 650-2,"전세7,500",30/27m²,2/4층,남동향,"10년이내, 세대분리, 소형평수, 방한개"
원룸,일반원룸,강원도 춘천시 효자동 302-12,월세100/25,20/20m²,2/3층,남향,"25년이상, 융자금적은, 화장실한개, 소형평수"
아파트,동보 101동,강원도 춘천시 효자동 821,월세400/45,61/37m²,9/13층,북서향,
단독/다가구,다가구,강원도 춘천시 효자동 600,월세200/30,30/30m²,3/3층,남향,"25년이상, 융자금적은, 세대분리, 소형평수"
단독/다가구,다가구,강원도 춘천시 효자동 600,"전세4,000",30/30m²,1/3층,남동향,"25년이상, 융자금적은, 1층, 소형평수"
원룸,일반원룸,강원도 춘천시 효자동 603-6,월세300/47,40/30m²,2/4층,남향,"15년이내, 융자금없는, 소형평수, 방한개"
원룸,일반원룸,강원도 춘천시 효자동 705-15,월세500/40,30/30m²,5/5층,남향,"15년이내, 화장실한개, 소형평수, 방한개"
아파트,동보 103동,강원도 춘천시 효자동 821,월세200/35,47/28m²,10/13층,남동향,
단독/다가구,다가구,강원도 춘천시 효자동 569-9,"전세8,500",45/45m²,2/3층,북동향,"10년이내, 화장실한개, 소형평수, 방한개"
단독/다가구,다가구,강원도 춘천시 효자동 569-9,월세33/18,45/45m²,2/3층,북동향,"15년이내, 융자금없는, 소형평수, 방한개"
