매물 유형,매물 제목,소재지,가격,면적,층수,방향,태그,중개 플랫폼,중개사,등록일
아파트,주공5단지 510동,강원도 춘천시 후평동 481,월세500/50,49A/39m²,3/5층,남동향,,부동산써브 제공,영서부동산공인중개사사무소,
원룸,일반원룸,강원도 춘천시 후평동 689-9,"전세6,000",35/35m²,2/2층,남동향,"25년이상, 소형평수, 방두개, 화장실한개",한경부동산 제공,금수강산공인중개사사무소,
아파트,주공7단지 709동,강원도 춘천시 후평동 477,"전세9,000",49B/39m²,3/5층,남향,,매경부동산 제공,원탑공인중개사사무소,
원룸,일반원룸,강원도 춘천시 후평동 245-97,월세200/28,21/21m²,저/3층,동향,"25년이상, 소형평수, 방한개",부동산114 제공,,
원룸,일반원룸,강원도 춘천시 후평동 736-14,월세100/30,25/25m²,중/2층,남동향,"25년이상, 융자금없는, 소형평수",부동산114 제공,,
아파트,주공7단지 705동,강원도 춘천시 후평동 477,"전세9,500",49B/39m²,5/5층,남향,,한경부동산 제공,왕공인중개사사무소,
아파트,주공5단지 507동,강원도 춘천시 후평동 481,월세500/55,57/46m²,4/5층,남동향,,부동산써브 제공,,
아파트,주공5단지 508동,강원도 춘천시 후평동 481,"전세1억 1,000",57/47m²,4/5층,남동향,,부동산써브 제공,,
원룸,일반원룸,강원도 춘천시 후평동 751-6,"전세9,000",-/33m²,2/4층,남서향,"10년이내, 방두개, 화장실한개, 중층",부동산써브 제공,부동산갤러리공인중개사사무소,
단독/다가구,단독,강원도 춘천시 후평동 679-14,"전세6,000",50/45m²,2/3층,동향,"25년이상, 소형평수, 방두개, 화장실한개",부동산써브 제공,포스코공인중개사사무소,
아파트,후평봉의 1동,강원도 춘천시 후평동 542-3,"전세4,600",41A/41m²,2/5층,동향,,부동산써브 제공,극동부동산공인중개사사무소,
단독/다가구,단독,강원도 춘천시 후평동 457-4,"월세2,000/40",46/46m²,3/4층,서향,"25년이상, 융자금적은, 소형평수, 방두개",부동산써브 제공,자매부동산공인중개사사무소,
단독/다가구,단독,강원도 춘천시 후평동,"전세6,000",49/49m²,2/2층,남동향,"25년이상, 융자금없는, 테라스, 소형평수",,,
아파트,주공5단지 510동,강원도 춘천시 후평동 481,월세300/30,49A/39m²,4/5층,남동향,,한주공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 후평동 673-7,월세300/30,25/25m²,2/3층,남향,"25년이상, 화장실한개, 소형평수, 방한개",유진공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 후평동 523-45,월세100/23,28/23m²,1/3층,동향,"25년이상, 융자금없는, 1층, 소형평수",포스코공인중개사사무소,,
단독/다가구,다가구,강원도 춘천시 후평동 689-9,"전세6,000",35/35m²,2/2층,남향,"25년이상, 소형평수, 방한개, 화장실한개",포스코공인중개사사무소,,
단독/다가구,다가구,강원도 춘천시 후평동 726-22,월세500/55,45/45m²,2/4층,동향,"10년이내, 화장실한개, 소형평수, 방두개",강대부동산공인중개사사무소,,
상가주택,상가주택,강원도 춘천시 후평동 723,"전세7,000",30/29m²,2/4층,북서향,"10년이내, 소형평수, 방한개, 화장실한개",,,
아파트,주공7단지 705동,강원도 춘천시 후평동 477,"전세9,500",49B/39m²,5/5층,남향,,범우공인중개사사무소,,
아파트,주공5단지 502동,강원도 춘천시 후평동 481,월세300/35,49A/39m²,4/5층,남동향,,,,
아파트,세경3차 302동,강원도 춘천시 후평동 845-1,"월세1,000/45",66/49m²,3/15층,남향,,행복한부동산공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 후평동 722-35,월세500/55,50/45m²,3/4층,북향,"10년이내, 융자금없는, 소형평수, 화장실한개",,,
원룸,일반원룸,강원도 춘천시 후평동 704-13,"전세8,000",35/33m²,2/4층,남동향,"10년이내, 융자금없는, 소형평수, 화장실한개",,,
원룸,일반원룸,강원도 춘천시 후평동 116-5,"전세8,000",33/30m²,4/4층,남서향,"4년이내, 화장실한개, 소형평수, 방한개",,,
원룸,일반원룸,강원도 춘천시 후평동 722-20,월세300/35,28/28m²,3/4층,남서향,"15년이내, 융자금적은, 소형평수, 화장실한개",강대부동산공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 후평동 498-160,월세300/30,28/25m²,2/3층,남서향,"25년이상, 세대분리, 화장실한개, 소형평수",,,
원룸,일반원룸,강원도 춘천시 후평동 714-11,월세100/20,27/24m²,2/5층,남서향,"25년이내, 융자금없는, 화장실한개, 소형평수",,,
원룸,일반원룸,강원도 춘천시 후평동 442-89,"전세7,000",33/30m²,3/4층,남동향,"10년이내, 세대분리, 화장실한개, 소형평수",,,
원룸,일반원룸,강원도 춘천시 후평동 673-7,월세300/30,27/23m²,1/3층,북향,"25년이상, 1층, 화장실한개, 소형평수",,,
원룸,일반원룸,강원도 춘천시 후평동 744-4,월세300/38,29/29m²,2/4층,남동향,"10년이내, 화장실한개, 소형평수, 방한개",강대부동산공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 후평동 731-12,"전세6,000",26/26m²,2/4층,서향,"10년이내, 융자금적은, 소형평수, 화장실한개",강대부동산공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 후평동 738-4,월세300/42,26/26m²,2/4층,동향,"10년이내, 융자금적은, 소형평수, 화장실한개",강대부동산공인중개사사무소,,
단독/다가구,다가구,강원도 춘천시 후평동 875-13,"전세7,000",42/42m²,2/3층,남서향,"25년이상, 융자금없는, 소형평수, 방두개",,,
단독/다가구,다가구,강원도 춘천시 후평동 872-10,"전세5,000",33/33m²,2/3층,남서향,"25년이상, 소형평수, 방한개, 화장실한개",,,
아파트,세경3차 301동,강원도 춘천시 후평동 845-1,월세500/55,66/49m²,7/15층,남동향,,예스공인중개사사무소,,
단독/다가구,단독,강원도 춘천시 후평동,월세300/35,35/35m²,2/2층,북서향,"소형평수, 방두개, 화장실한개, 고층",포스코공인중개사사무소,,
상가주택,상가주택,강원도 춘천시 후평동 883-11,"전세9,000",54/50m²,2/3층,남서향,"25년이상, 소형평수, 방두개, 화장실한개",예스공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 후평동 675-22,월세200/30,26/26m²,1/3층,남향,"25년이내, 1층, 복층, 화장실한개",한국공인중개사협회 제공,유진공인중개사사무소,
