매물 유형,매물 제목,소재지,가격,면적,층수,방향,태그,중개 플랫폼,중개사,등록일
아파트,석사주공2단지 208동,,"월세1,000/50",53/37m²,2/15층,동향,,아실 제공,나래공인중개사사무소,
아파트,주공5단지 504동,,월세300/25,49B/39m²,3/5층,남향,,부동산뱅크 제공,천승주부동산공인중개사사무소,
아파트,주공5단지 504동,,"전세9,000",49B/39m²,3/5층,남서향,,매경부동산 제공,한솔부동산공인중개사사무소,
아파트,주공7단지 705동,,"전세9,500",49B/39m²,5/5층,남향,,부동산써브 제공,영서부동산공인중개사사무소,
아파트,주공5단지 504동,,월세500/50,49B/39m²,3/5층,남향,,부동산뱅크 제공,오뚜기공인중개사사무소,
아파트,주공5단지 504동,,월세500/50,49B/39m²,3/5층,남향,,부동산뱅크 제공,이화공인중개사사무소,
아파트,주공5단지 504동,,월세500/50,49B/39m²,3/5층,남동향,,부동산써브 제공,알천부동산공인중개사,
아파트,주공7단지 709동,,"전세9,000",49B/39m²,3/5층,남향,,매경부동산 제공,원탑공인중개사사무소,
단독/다가구,다가구,강원도 춘천시 후평동 583-6,"전세1억 2,000",-/49m²,1/3층,남서향,"2년이내, 1층, 화장실한개",매경부동산 제공,이건부동산중개사무소,
아파트,주공5단지 504동,,월세300/25,49B/39m²,3/5층,남향,,부동산써브 제공,부동산화수분공인중개사사무소,
단독/다가구,다가구,강원도 춘천시 후평동 542-33,전세1억,50/50m²,1/3층,동향,"10년이내, 융자금적은, 1층",매경부동산 제공,이건부동산중개사무소,
단독/다가구,다가구,강원도 춘천시 후평동 542-34,전세1억,-/49m²,2/3층,동향,"10년이내, 융자금적은, 화장실한개",매경부동산 제공,이건부동산중개사무소,
아파트,주공5단지 502동,,월세500/50,49A/39m²,4/5층,남향,,부동산써브 제공,부동산화수분공인중개사사무소,
아파트,주공5단지 502동,,전세1억,49A/39m²,4/5층,남향,,부동산써브 제공,부동산화수분공인중개사사무소,
아파트,주공5단지 507동,,월세500/55,57/46m²,4/5층,남동향,,부동산써브 제공,,
원룸,일반원룸,강원도 춘천시 후평동 711-55,월세200/23,93/30m²,B1/3층,남서향,"25년이상, 화장실한개, 방한개",부동산써브 제공,부동산893공인중개사사무소,
아파트,주공5단지 512동,,"전세9,500",49A/39m²,1/5층,남동향,,부동산써브 제공,,
아파트,주공5단지 504동,,"전세9,000",49B/39m²,3/5층,남향,,부동산뱅크 제공,이화공인중개사사무소,
원룸,일반원룸,강원도 춘천시 후평동 832-7,월세300/30,-/30m²,2/3층,동향,"25년이내, 세대분리, 방한개, 화장실한개",부동산써브 제공,왕공인중개사사무소,
단독/다가구,단독,강원도 춘천시 후평동 687-8,월세500/45,52/45m²,3/4층,북향,"10년이내, 화장실한개, 소형평수, 방한개",부동산써브 제공,,
아파트,주공5단지 508동,,"전세1억 1,000",57/47m²,4/5층,남동향,,부동산써브 제공,,
단독/다가구,다가구,강원도 춘천시 후평동 583-6,"월세1,000/65",-/49m²,1/3층,남향,"2년이내, 1층, 화장실한개",매경부동산 제공,이건부동산중개사무소,
아파트,주공7단지 705동,,"전세9,500",49B/39m²,5/5층,남향,,부동산뱅크 제공,골든부동산공인중개사사무소,
아파트,주공5단지 509동,,전세1억,57/47m²,5/5층,남동향,,부동산써브 제공,,
아파트,주공5단지 505동,,월세500/40,49A/39m²,4/5층,남향,,부동산뱅크 제공,오뚜기공인중개사사무소,
아파트,세경3차 301동,,"전세8,000",66/49m²,2/15층,남향,,한경부동산 제공,왕공인중개사사무소,
아파트,주공5단지 504동,,월세300/30,49B/39m²,3/5층,남향,,부동산뱅크 제공,유진공인중개사사무소,
아파트,주공5단지 503동,,월세500/50,49B/39m²,3/5층,남동향,,부동산써브 제공,,
아파트,주공7단지 712동,,월세500/35,49B/39m²,1/5층,남향,,매경부동산 제공,이건부동산중개사무소,
아파트,주공5단지 504동,,월세300/35,49B/39m²,3/5층,남향,,부동산뱅크 제공,이화공인중개사사무소,
단독/다가구,다가구,강원도 춘천시 후평동 542-34,전세1억,-/49m²,2/3층,동향,"10년이내, 방두개, 화장실한개",부동산뱅크 제공,유진공인중개사사무소,
아파트,주공7단지 705동,,월세300/35,49B/39m²,1/5층,남서향,,부동산뱅크 제공,,
아파트,세경3차 301동,,"월세1,000/50",66/49m²,13/15층,남향,,부동산써브 제공,행복한부동산공인중개,
원룸,일반원룸,강원도 춘천시 후평동 861-1,월세500/55,39/35m²,2/4층,북동향,"10년이내, 소형평수, 화장실한개, 방한개",부동산써브 제공,현공인중개사사무소,
단독/다가구,단독,강원도 춘천시 후평동 795-6,"월세1,000/30",48/48m²,2/2층,남향,"25년이상, 융자금없는, 보일러교체",부동산써브 제공,자매부동산공인중개사사무소,
아파트,후평봉의 1동,,"전세4,600",41A/41m²,2/5층,동향,,부동산써브 제공,극동부동산공인중개사사무소,
아파트,주공7단지 705동,,"전세9,500",49B/39m²,5/5층,남향,,부동산뱅크 제공,이화공인중개사사무소,
원룸,일반원룸,강원도 춘천시 후평동 751-6,"전세8,000",-/33m²,2/4층,남서향,"10년이내, 방두개, 화장실한개, 중층",부동산써브 제공,부동산갤러리공인중개사사무소,
단독/다가구,단독,강원도 춘천시 후평동 704-13,"전세8,000",42/42m²,2/4층,남동향,"10년이내, 화장실한개, 소형평수, 방한개",부동산써브 제공,더샵스타리버부동산공인중개사사무소,
원룸,일반원룸,강원도 춘천시 후평동 755-22,월세500/42,30/28m²,2/4층,남향,"10년이내, 소형평수, 방한개",부동산써브 제공,,
아파트,후평주공4단지 402동,,"전세7,000",47/42m²,1/5층,남향,,매경부동산 제공,코아루웰라움공인중개사사무소,
단독/다가구,단독,강원도 춘천시 후평동 457-4,"월세2,000/40",46/46m²,3/4층,서향,"25년이상, 융자금적은, 소형평수, 방두개",부동산써브 제공,자매부동산공인중개사사무소,
아파트,주공5단지 509동,,월세500/40,57/47m²,3/5층,남동향,,부동산써브 제공,,
아파트,주공5단지 505동,,"전세7,000",49A/39m²,4/5층,남동향,,부동산써브 제공,,
아파트,후평봉의 6동,,월세300/30,41B/41m²,3/5층,동향,,매경부동산 제공,이건부동산중개사무소,
아파트,주공7단지 705동,,"전세9,500",49B/39m²,5/5층,남향,,한경부동산 제공,금수강산공인중개사사무소,
아파트,후평주공4단지 427동,,월세500/40,52A/47m²,3/5층,남향,,부동산써브 제공,,
아파트,주공7단지 705동,,"전세9,500",49B/39m²,5/5층,남향,,부동산써브 제공,부동산화수분공인중개사사무소,
아파트,주공5단지 511동,,전세1억,49B/39m²,5/5층,남동향,,부동산써브 제공,부동산화수분공인중개사사무소,
아파트,주공5단지 505동,,월세300/30,49A/39m²,4/5층,남동향,,부동산써브 제공,,
원룸,일반원룸,강원도 춘천시 후평동 711-55,월세300/32,93/39m²,1/3층,남서향,"25년이상, 1층, 화장실한개",부동산써브 제공,부동산893공인중개사사무소,
빌라,빌라,강원도 춘천시 후평동 711-44,"전세4,200",32/24m²,2/5층,서향,"15년이내, 화장실한개, 소형평수, 방한개",매경부동산 제공,이건부동산중개사무소,
원룸,일반원룸,강원도 춘천시 후평동 723,"전세7,000",-/27m²,2/4층,서향,"10년이내, 세대분리, 화장실한개",매경부동산 제공,이건부동산중개사무소,
아파트,동산 102동,,"전세5,900",31/31m²,5/10층,동향,,부동산써브 제공,행복한부동산공인중개,
아파트,주공5단지 501동,,월세500/45,49A/39m²,4/5층,남동향,,부동산써브 제공,,
원룸,일반원룸,강원도 춘천시 후평동 754-17,"전세8,000",212/21m²,3/4층,북서향,"4년이내, 대형평수, 방한개",매경부동산 제공,이건부동산중개사무소,
원룸,일반원룸,강원도 춘천시 후평동 445-22,"전세7,500",-/45m²,중/4층,남서향,"10년이내, 화장실한개, 방두개",매경부동산 제공,이건부동산중개사무소,
아파트,주공7단지 707동,,월세500/50,57/46m²,1/5층,남서향,,부동산써브 제공,캐슬푸르지오공인중개사사무소,
아파트,주공7단지 707동,,월세500/50,57/46m²,1/5층,남향,,부동산써브 제공,부동산화수분공인중개사사무소,
아파트,후평봉의 6동,,"전세5,000",41B/41m²,5/5층,동향,,매경부동산 제공,,
아파트,주공5단지 503동,,"전세9,500",49B/39m²,2/5층,남향,,부동산써브 제공,부동산미소공인중개사사무소,
아파트,세경3차 301동,,"월세5,000/40",66/49m²,11/15층,남향,,부동산써브 제공,극동부동산공인중개사사무소,
원룸,일반원룸,강원도 춘천시 후평동 704-13,"전세8,000",-/38m²,2/4층,북서향,"10년이내, 화장실한개, 방한개",부동산뱅크 제공,유진공인중개사사무소,
원룸,일반원룸,강원도 춘천시 후평동 872-10,"전세5,000",27/27m²,중/3층,남서향,"25년이상, 소형평수, 방한개, 화장실한개",부동산114 제공,,
아파트,주공5단지 510동,,월세500/50,49A/39m²,3/5층,남동향,,부동산써브 제공,영서부동산공인중개사사무소,
원룸,일반원룸,강원도 춘천시 후평동 736-14,월세100/30,25/25m²,중/2층,남동향,"25년이상, 융자금없는, 소형평수",부동산114 제공,,
원룸,일반원룸,강원도 춘천시 후평동 245-97,월세200/28,21/21m²,저/3층,동향,"25년이상, 소형평수, 방한개",부동산114 제공,,
아파트,석사주공2단지 208동,,"월세1,000/50",53/37m²,2/15층,동향,,나래공인중개사사무소,,
원룸,일반원룸,강원도 춘천시 후평동 672-3,월세500/50,36/36m²,1/3층,남향,"15년이내, 1층, 화장실한개, 소형평수",,,
원룸,일반원룸,강원도 춘천시 후평동 684-21,월세300/40,33/30m²,3/4층,남서향,"10년이내, 소형평수, 화장실한개, 방한개",,,
단독/다가구,단독,강원도 춘천시 후평동,"전세6,000",49/49m²,2/2층,남동향,"25년이상, 융자금없는, 테라스, 소형평수",,,
